time,open,high,low,close,volume
1782864000000,58603.5,58721.3,58580.6,58623.7,324.701
1782864900000,58623.7,58658.7,58279.3,58364.5,1003.638
1782865800000,58364.5,58553.8,58361.2,58454.9,475.055
1782866700000,58454.9,58599.6,58436.4,58550.0,338.583
1782867600000,58550.0,58558.5,57755.8,58141.0,4915.205
1782868500000,58141.0,58383.0,58005.3,58330.0,2218.528
1782869400000,58330.0,58975.0,58304.7,58870.7,3264.363
1782870300000,58870.7,58990.9,58687.3,58740.0,972.179
1782871200000,58740.0,58844.5,58638.1,58769.1,431.852
1782872100000,58769.1,59020.0,58751.1,58921.0,595.602
1782873000000,58921.0,59142.5,58886.5,59110.0,961.066
1782873900000,59110.0,59154.4,58976.3,59063.6,750.323
1782874800000,59063.6,59096.7,58966.3,58970.3,391.829
1782875700000,58970.3,58981.2,58858.0,58896.7,544.93
1782876600000,58896.7,59135.4,58818.7,58915.0,563.564
1782877500000,58915.0,59325.6,58907.0,59177.2,4351.153
1782878400000,59177.2,59177.3,59040.0,59094.9,499.592
1782879300000,59094.9,59258.3,59074.9,59255.7,372.988
1782880200000,59255.7,59388.8,59178.0,59339.9,1022.899
1782881100000,59339.9,59444.0,59283.0,59316.0,959.76
1782882000000,59316.0,59355.3,59218.1,59263.0,556.591
1782882900000,59263.0,59332.4,59133.4,59148.3,768.067
1782883800000,59148.3,59181.3,59095.0,59166.9,507.188
1782884700000,59166.9,59180.7,59107.5,59130.4,231.019
1782885600000,59130.4,59137.2,58883.9,58927.7,916.33
1782886500000,58927.7,58950.0,58666.5,58766.3,1280.389
1782887400000,58766.3,58813.1,58499.9,58678.3,2189.372
1782888300000,58678.3,58750.0,58590.2,58735.9,685.921
1782889200000,58735.9,58771.4,58573.8,58655.7,491.139
1782890100000,58655.7,58809.1,58610.3,58709.2,513.546
1782891000000,58709.2,58735.6,58617.4,58670.9,447.67
1782891900000,58670.9,58782.0,58642.3,58747.7,287.576
1782892800000,58747.7,58797.3,58630.8,58675.1,462.337
1782893700000,58675.1,58704.5,58571.1,58595.6,515.838
1782894600000,58595.6,58724.9,58463.0,58717.8,1002.757
1782895500000,58717.8,58968.6,58654.5,58955.0,731.239
1782896400000,58955.0,59078.6,58860.2,58936.4,1027.032
1782897300000,58936.4,58983.0,58850.7,58875.3,481.362
1782898200000,58875.3,58927.3,58794.3,58863.8,404.913
1782899100000,58863.8,58957.6,58822.3,58924.4,683.671
1782900000000,58924.4,58928.6,58733.0,58742.6,554.237
1782900900000,58742.6,58775.5,58626.6,58719.6,891.981
1782901800000,58719.6,58733.7,58589.0,58596.0,476.924
1782902700000,58596.0,58671.9,58594.6,58632.1,426.459
1782903600000,58632.1,58729.7,58556.4,58677.7,503.808
1782904500000,58677.7,58729.1,58642.9,58671.0,205.131
1782905400000,58671.0,58713.3,58600.6,58656.7,288.496
1782906300000,58656.7,58678.0,58522.1,58592.0,392.558
1782907200000,58592.0,58658.8,58364.1,58421.4,1624.524
1782908100000,58421.4,58573.7,58421.4,58527.1,669.543
1782909000000,58527.1,58567.9,58344.2,58373.8,769.455
1782909900000,58373.8,58505.3,58293.9,58497.4,1173.037
1782910800000,58497.4,58742.4,58491.9,58637.5,1094.284
1782911700000,58637.5,58883.0,58624.4,58786.7,1098.393
1782912600000,58786.7,59055.9,58561.6,58992.5,3021.119
1782913500000,58992.5,59491.9,58920.3,59468.9,3887.766
1782914400000,59468.9,59973.7,59252.0,59945.0,5173.114
1782915300000,59945.0,60071.7,59753.2,59760.5,3378.971
1782916200000,59760.5,59798.8,59511.0,59587.9,1924.199
1782917100000,59587.9,59745.8,59401.0,59522.9,1703.729
1782918000000,59522.9,59970.0,59492.5,59894.8,1770.862
1782918900000,59894.8,60522.0,59821.2,60284.7,5810.123
1782919800000,60284.7,60357.0,60116.9,60194.4,1446.904
1782920700000,60194.4,60230.3,60052.8,60121.7,954.398
1782921600000,60121.7,60203.0,60040.8,60114.7,574.306
1782922500000,60114.7,60243.2,59927.2,60118.1,1753.819
1782923400000,60118.1,60159.6,59993.1,60061.6,554.597
1782924300000,60061.6,60071.0,59837.5,59904.1,990.88
1782925200000,59904.1,59918.5,59759.4,59876.1,943.142
1782926100000,59876.1,60187.3,59873.0,60128.9,1413.365
1782927000000,60128.9,60222.6,60064.6,60129.8,659.359
1782927900000,60129.8,60210.5,60120.0,60163.0,396.94
1782928800000,60163.0,60191.0,59991.5,60050.9,998.466
1782929700000,60050.9,60168.5,60014.2,60120.9,305.445
1782930600000,60120.9,60235.1,60053.9,60200.1,484.733
1782931500000,60200.1,60275.2,60050.6,60143.0,633.198
1782932400000,60143.0,60282.7,60136.0,60253.5,655.749
1782933300000,60253.5,60333.0,60076.6,60122.7,1172.797
1782934200000,60122.7,60252.6,60115.0,60182.8,273.556
1782935100000,60182.8,60182.8,59961.3,60002.7,1088.238
1782936000000,60002.7,60035.3,59876.0,59972.5,761.858
1782936900000,59972.5,59999.7,59845.5,59948.0,717.369
1782937800000,59948.0,60049.2,59930.0,60010.2,248.716
1782938700000,60010.2,60166.7,60005.0,60106.2,491.246
1782939600000,60106.2,60446.0,60100.0,60424.2,1056.312
1782940500000,60424.2,60596.6,60300.8,60499.2,1386.022
1782941400000,60499.2,60833.9,60498.7,60783.3,1836.072
1782942300000,60783.3,60818.8,60748.1,60787.5,747.561
1782943200000,60787.5,60802.9,60753.3,60788.0,414.458
1782944100000,60788.0,61325.3,60526.1,60533.3,5380.642
1782945000000,60533.3,60662.8,60424.8,60470.0,1569.986
1782945900000,60470.0,60495.4,60326.8,60454.9,800.831
1782946800000,60454.9,60454.9,60210.9,60225.4,836.556
1782947700000,60225.4,60350.0,60166.0,60186.8,587.389
1782948600000,60186.8,60249.0,60020.4,60132.9,1139.677
1782949500000,60132.9,60147.4,59948.5,60000.0,1275.554
1782950400000,60000.0,60008.4,59869.1,59918.1,1006.682
1782951300000,59918.1,59949.1,59713.0,59757.6,871.521
1782952200000,59757.6,59771.2,59556.1,59599.6,1002.315
1782953100000,59599.6,59823.0,59599.6,59730.0,1034.731
1782954000000,59730.0,59917.3,59694.0,59905.2,691.832
1782954900000,59905.2,59999.0,59805.1,59999.0,883.378
1782955800000,59999.0,60299.5,59998.9,60172.9,1252.366
1782956700000,60172.9,60295.0,60054.4,60154.0,705.113
1782957600000,60154.0,60172.1,59988.8,60121.1,419.556
1782958500000,60121.1,60247.9,60108.4,60187.7,294.169
1782959400000,60187.7,60398.9,60151.8,60382.5,698.73
1782960300000,60382.5,60483.0,60308.0,60395.3,907.643
1782961200000,60395.3,60456.0,60363.3,60456.0,250.284
1782962100000,60456.0,60696.1,60266.9,60523.8,1285.677
1782963000000,60523.8,60788.8,60454.0,60788.7,1011.89
1782963900000,60788.7,61107.5,60706.4,61038.9,1611.23
1782964800000,61038.9,61039.0,60844.0,60918.2,775.068
1782965700000,60918.2,60962.5,60783.9,60839.9,591.698
1782966600000,60839.9,60839.9,60701.7,60751.7,650.739
1782967500000,60751.7,60869.2,60720.8,60762.8,318.902
1782968400000,60762.8,60845.5,60626.4,60839.3,749.145
1782969300000,60839.3,60862.0,60713.7,60726.9,475.388
1782970200000,60726.9,60856.2,60567.9,60587.8,764.774
1782971100000,60587.8,60640.9,60457.6,60481.2,897.17
1782972000000,60481.2,60499.0,60372.0,60376.2,440.827
