time,open,high,low,close,volume
1782864000000,1571.21,1576.05,1565.5,1574.39,21952.3
1782867600000,1574.39,1586.49,1551.44,1577.2,91513.54
1782871200000,1577.2,1589.0,1573.69,1585.68,31811.26
1782874800000,1585.68,1598.73,1581.64,1594.15,86582.39
1782878400000,1594.15,1604.51,1590.14,1598.65,45107.66
1782882000000,1598.65,1600.3,1590.58,1592.01,37155.53
1782885600000,1592.01,1592.59,1570.29,1575.41,83675.81
1782889200000,1575.41,1580.45,1571.45,1577.57,25443.45
1782892800000,1577.57,1581.88,1567.44,1581.71,32388.47
1782896400000,1581.71,1584.64,1577.58,1580.41,34484.22
1782900000000,1580.41,1580.99,1571.18,1572.76,25864.86
1782903600000,1572.76,1575.3,1566.4,1569.02,24430.4
1782907200000,1569.02,1571.92,1564.42,1569.4,33689.02
1782910800000,1569.4,1598.43,1569.0,1596.61,121080.43
1782914400000,1596.61,1616.79,1590.03,1600.57,160965.44
1782918000000,1600.57,1630.66,1600.3,1619.27,129465.18
1782921600000,1619.27,1629.41,1611.82,1614.04,52581.85
1782925200000,1614.04,1624.55,1606.33,1622.35,60973.93
1782928800000,1622.35,1624.13,1610.97,1615.91,31761.56
1782932400000,1615.91,1623.64,1613.65,1617.16,31462.8
1782936000000,1617.16,1619.95,1609.25,1617.23,58433.56
1782939600000,1617.23,1638.97,1616.86,1631.32,43956.84
1782943200000,1631.32,1645.97,1619.77,1621.05,79509.3
1782946800000,1621.05,1621.05,1607.32,1608.73,55992.95
1782950400000,1608.73,1608.87,1596.0,1602.69,49466.82
1782954000000,1602.69,1624.64,1601.69,1619.95,41065.72
1782957600000,1619.95,1624.02,1613.91,1620.16,24882.1
1782961200000,1620.16,1642.01,1617.6,1638.76,58767.74
1782964800000,1638.76,1639.42,1629.71,1632.0,23661.15
1782968400000,1632.0,1634.31,1624.32,1625.95,25909.47
1782972000000,1625.95,1629.0,1616.39,1618.13,34074.91
1782975600000,1618.13,1619.26,1613.65,1615.39,30020.9
1782979200000,1615.39,1626.49,1614.3,1624.16,54087.92
1782982800000,1624.16,1651.0,1619.64,1642.48,103367.1
