series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-1h,uwd910,PB,1.5,low,1828,-12.67,-5.67,-8.5,-2.6,0.138,False
SOLUSDT-1h,prevBull,PB,1.5,low,1544,-10.99,-3.99,-7.3,-0.3,0.173,False
SOLUSDT-1h,smaAbove,PB,1.5,low,1664,-11.73,-4.73,-8.1,-1.2,0.169,False
SOLUSDT-1h,trendHi,PB,1.5,low,1225,-10.49,-3.49,-7.9,0.9,0.165,False
SOLUSDT-1h,XL,PB,1.5,low,713,-12.62,-5.62,-11.3,0.5,0.136,False
SOLUSDT-1h,XLtrend,PB,1.5,low,339,-9.33,-2.33,-11.4,7.4,0.127,False
SOLUSDT-1h,loud,PB,1.5,mid,1162,-13.31,-6.31,-9.8,-2.5,0.081,False
SOLUSDT-1h,uwd10,PB,1.5,mid,930,-8.97,-1.97,-5.2,1.4,0.07,False
SOLUSDT-1h,uwd910,PB,1.5,mid,1828,-12.0,-5.0,-7.1,-2.7,0.072,False
SOLUSDT-1h,prevBull,PB,1.5,mid,1544,-12.34,-5.34,-7.6,-2.8,0.088,False
SOLUSDT-1h,smaAbove,PB,1.5,mid,1664,-10.81,-3.81,-6.3,-1.2,0.097,False
SOLUSDT-1h,trendHi,PB,1.5,mid,1225,-8.89,-1.89,-5.3,1.6,0.102,False
SOLUSDT-1h,XL,PB,1.5,mid,713,-13.15,-6.15,-10.0,-1.8,0.063,False
SOLUSDT-1h,XLtrend,PB,1.5,mid,339,-8.64,-1.64,-8.9,6.7,0.068,False
SOLUSDT-4h,loud,MKT,1.0,low,332,-10.7,-3.7,-30.0,23.9,0.461,False
SOLUSDT-4h,uwd10,MKT,1.0,low,253,-15.49,-8.49,-34.0,16.6,0.383,False
SOLUSDT-4h,uwd910,MKT,1.0,low,505,-20.49,-13.49,-30.4,4.5,0.408,False
SOLUSDT-4h,prevBull,MKT,1.0,low,465,-38.88,-31.88,-49.3,-14.5,0.419,False
SOLUSDT-4h,smaAbove,MKT,1.0,low,453,-24.36,-17.36,-36.8,2.4,0.453,False
SOLUSDT-4h,trendHi,MKT,1.0,low,325,-20.17,-13.17,-37.4,12.5,0.455,False
SOLUSDT-4h,XL,MKT,1.0,low,203,-15.75,-8.75,-42.7,24.7,0.404,False
SOLUSDT-4h,XLtrend,MKT,1.0,low,102,-7.23,-0.23,-55.3,56.5,0.422,False
SOLUSDT-4h,loud,MKT,1.0,mid,332,-14.0,-7.0,-33.4,19.9,0.425,False
SOLUSDT-4h,uwd10,MKT,1.0,mid,253,-14.04,-7.04,-31.6,16.5,0.352,False
SOLUSDT-4h,uwd910,MKT,1.0,mid,505,-19.44,-12.44,-28.8,4.7,0.376,False
SOLUSDT-4h,prevBull,MKT,1.0,mid,465,-39.54,-32.54,-49.0,-15.5,0.383,False
SOLUSDT-4h,smaAbove,MKT,1.0,mid,453,-23.69,-16.69,-34.7,2.2,0.417,False
SOLUSDT-4h,trendHi,MKT,1.0,mid,325,-18.31,-11.31,-34.8,13.2,0.422,False
SOLUSDT-4h,XL,MKT,1.0,mid,203,-10.55,-3.55,-37.4,29.5,0.384,False
SOLUSDT-4h,XLtrend,MKT,1.0,mid,102,0.94,7.94,-46.1,63.1,0.412,False
SOLUSDT-4h,loud,MKT,1.5,low,332,2.52,9.52,-24.1,44.3,0.395,False
SOLUSDT-4h,uwd10,MKT,1.5,low,253,3.37,10.37,-19.1,40.5,0.34,False
SOLUSDT-4h,uwd910,MKT,1.5,low,505,-7.85,-0.85,-21.8,20.4,0.362,False
SOLUSDT-4h,prevBull,MKT,1.5,low,465,-28.56,-21.56,-41.8,-0.7,0.374,False
SOLUSDT-4h,smaAbove,MKT,1.5,low,453,-14.45,-7.45,-31.1,16.1,0.402,False
SOLUSDT-4h,trendHi,MKT,1.5,low,325,-12.96,-5.96,-37.0,25.3,0.397,False
SOLUSDT-4h,XL,MKT,1.5,low,203,-6.62,0.38,-39.4,40.6,0.33,False
SOLUSDT-4h,XLtrend,MKT,1.5,low,102,-8.44,-1.44,-65.0,65.3,0.324,False
SOLUSDT-4h,loud,MKT,1.5,mid,332,-0.94,6.06,-26.0,38.9,0.367,False
SOLUSDT-4h,uwd10,MKT,1.5,mid,253,1.15,8.15,-19.8,36.5,0.312,False
SOLUSDT-4h,uwd910,MKT,1.5,mid,505,-7.82,-0.82,-19.5,18.8,0.337,False
SOLUSDT-4h,prevBull,MKT,1.5,mid,465,-30.99,-23.99,-43.3,-4.9,0.344,False
SOLUSDT-4h,smaAbove,MKT,1.5,mid,453,-14.07,-7.07,-28.3,14.3,0.373,False
SOLUSDT-4h,trendHi,MKT,1.5,mid,325,-13.16,-6.16,-34.4,21.4,0.366,False
SOLUSDT-4h,XL,MKT,1.5,mid,203,-6.12,0.88,-37.3,38.9,0.31,False
SOLUSDT-4h,XLtrend,MKT,1.5,mid,102,-10.82,-3.82,-62.1,53.4,0.304,False
SOLUSDT-4h,loud,PB,1.0,low,284,-2.7,4.3,-13.7,22.4,0.236,False
SOLUSDT-4h,uwd10,PB,1.0,low,230,-0.97,6.03,-9.7,22.9,0.183,False
SOLUSDT-4h,uwd910,PB,1.0,low,459,-8.05,-1.05,-11.8,10.1,0.179,False
SOLUSDT-4h,prevBull,PB,1.0,low,423,-12.51,-5.51,-16.6,5.7,0.201,False
SOLUSDT-4h,smaAbove,PB,1.0,low,401,-4.36,2.64,-9.3,15.2,0.217,False
SOLUSDT-4h,trendHi,PB,1.0,low,291,-7.98,-0.98,-15.5,15.4,0.216,False
SOLUSDT-4h,XL,PB,1.0,low,179,-1.43,5.57,-15.0,26.9,0.201,False
SOLUSDT-4h,XLtrend,PB,1.0,low,90,-3.16,3.84,-30.2,39.6,0.178,False
SOLUSDT-4h,loud,PB,1.0,mid,284,-20.01,-13.01,-23.1,-1.8,0.099,False
SOLUSDT-4h,uwd10,PB,1.0,mid,230,-15.79,-8.79,-17.2,0.8,0.083,False
SOLUSDT-4h,uwd910,PB,1.0,mid,459,-16.53,-9.53,-15.9,-2.5,0.081,False
SOLUSDT-4h,prevBull,PB,1.0,mid,423,-19.66,-12.66,-18.6,-6.1,0.092,False
SOLUSDT-4h,smaAbove,PB,1.0,mid,401,-15.71,-8.71,-15.8,-0.9,0.1,False
SOLUSDT-4h,trendHi,PB,1.0,mid,291,-18.41,-11.41,-20.3,-1.0,0.1,False
SOLUSDT-4h,XL,PB,1.0,mid,179,-23.02,-16.02,-26.6,-3.8,0.067,False
SOLUSDT-4h,XLtrend,PB,1.0,mid,90,-26.96,-19.96,-34.9,-1.9,0.056,False
SOLUSDT-4h,loud,PB,1.5,low,284,-9.58,-2.58,-22.7,18.7,0.187,False
SOLUSDT-4h,uwd10,PB,1.5,low,230,-1.84,5.16,-14.3,26.1,0.139,False
SOLUSDT-4h,uwd910,PB,1.5,low,459,-9.71,-2.71,-15.3,10.6,0.135,False
SOLUSDT-4h,prevBull,PB,1.5,low,423,-12.33,-5.33,-18.0,8.0,0.163,False
SOLUSDT-4h,smaAbove,PB,1.5,low,401,-4.13,2.87,-11.4,17.5,0.18,False
SOLUSDT-4h,trendHi,PB,1.5,low,291,-6.38,0.62,-16.7,18.9,0.186,False
SOLUSDT-4h,XL,PB,1.5,low,179,-4.39,2.61,-21.5,30.3,0.151,False
SOLUSDT-4h,XLtrend,PB,1.5,low,90,-5.8,1.2,-38.5,46.9,0.133,False
SOLUSDT-4h,loud,PB,1.5,mid,284,-22.43,-15.43,-25.9,-4.0,0.081,False
SOLUSDT-4h,uwd10,PB,1.5,mid,230,-14.36,-7.36,-17.3,4.5,0.065,False
SOLUSDT-4h,uwd910,PB,1.5,mid,459,-17.67,-10.67,-17.6,-2.8,0.059,False
SOLUSDT-4h,prevBull,PB,1.5,mid,423,-18.93,-11.93,-18.7,-4.3,0.076,False
SOLUSDT-4h,smaAbove,PB,1.5,mid,401,-15.34,-8.34,-16.3,0.2,0.085,False
SOLUSDT-4h,trendHi,PB,1.5,mid,291,-19.2,-12.2,-22.0,-1.4,0.082,False
SOLUSDT-4h,XL,PB,1.5,mid,179,-23.95,-16.95,-28.5,-3.2,0.05,False
SOLUSDT-4h,XLtrend,PB,1.5,mid,90,-31.1,-24.1,-39.3,-4.3,0.033,False
ICPUSDT-5m,loud,MKT,1.0,low,15541,-17.05,-10.05,-10.6,-9.5,0.469,False
ICPUSDT-5m,uwd10,MKT,1.0,low,11101,-15.47,-8.47,-9.0,-7.9,0.374,False
ICPUSDT-5m,uwd910,MKT,1.0,low,22294,-16.46,-9.46,-9.9,-9.1,0.408,False
ICPUSDT-5m,prevBull,MKT,1.0,low,17316,-17.87,-10.87,-11.3,-10.4,0.444,False
ICPUSDT-5m,smaAbove,MKT,1.0,low,20598,-17.79,-10.79,-11.2,-10.3,0.443,False
ICPUSDT-5m,trendHi,MKT,1.0,low,14814,-18.3,-11.3,-11.9,-10.7,0.443,False
ICPUSDT-5m,XL,MKT,1.0,low,9173,-16.01,-9.01,-9.7,-8.3,0.418,False
ICPUSDT-5m,XLtrend,MKT,1.0,low,4213,-17.06,-10.06,-11.3,-8.9,0.404,False
ICPUSDT-5m,loud,MKT,1.0,mid,15541,-16.96,-9.96,-10.5,-9.4,0.449,False
ICPUSDT-5m,uwd10,MKT,1.0,mid,11101,-15.43,-8.43,-9.0,-7.9,0.362,False
ICPUSDT-5m,uwd910,MKT,1.0,mid,22294,-16.38,-9.38,-9.8,-9.0,0.392,False
ICPUSDT-5m,prevBull,MKT,1.0,mid,17316,-17.81,-10.81,-11.3,-10.4,0.421,False
ICPUSDT-5m,smaAbove,MKT,1.0,mid,20598,-17.63,-10.63,-11.1,-10.2,0.424,False
ICPUSDT-5m,trendHi,MKT,1.0,mid,14814,-18.15,-11.15,-11.7,-10.6,0.422,False
ICPUSDT-5m,XL,MKT,1.0,mid,9173,-15.87,-8.87,-9.6,-8.2,0.403,False
ICPUSDT-5m,XLtrend,MKT,1.0,mid,4213,-16.69,-9.69,-10.9,-8.5,0.389,False
ICPUSDT-5m,loud,MKT,1.5,low,15541,-15.46,-8.46,-9.1,-7.8,0.418,False
ICPUSDT-5m,uwd10,MKT,1.5,low,11101,-13.5,-6.5,-7.1,-5.8,0.329,False
ICPUSDT-5m,uwd910,MKT,1.5,low,22294,-14.75,-7.75,-8.2,-7.3,0.364,False
ICPUSDT-5m,prevBull,MKT,1.5,low,17316,-16.18,-9.18,-9.7,-8.7,0.405,False
ICPUSDT-5m,smaAbove,MKT,1.5,low,20598,-16.29,-9.29,-9.8,-8.8,0.401,False
ICPUSDT-5m,trendHi,MKT,1.5,low,14814,-16.59,-9.59,-10.3,-9.0,0.402,False
ICPUSDT-5m,XL,MKT,1.5,low,9173,-14.51,-7.51,-8.3,-6.7,0.363,False
ICPUSDT-5m,XLtrend,MKT,1.5,low,4213,-15.98,-8.98,-10.3,-7.6,0.348,False
ICPUSDT-5m,loud,MKT,1.5,mid,15541,-15.29,-8.29,-8.9,-7.6,0.4,False
ICPUSDT-5m,uwd10,MKT,1.5,mid,11101,-13.43,-6.43,-7.1,-5.8,0.319,False
ICPUSDT-5m,uwd910,MKT,1.5,mid,22294,-14.65,-7.65,-8.1,-7.2,0.35,False
ICPUSDT-5m,prevBull,MKT,1.5,mid,17316,-16.12,-9.12,-9.7,-8.6,0.385,False
ICPUSDT-5m,smaAbove,MKT,1.5,mid,20598,-16.12,-9.12,-9.6,-8.6,0.384,False
ICPUSDT-5m,trendHi,MKT,1.5,mid,14814,-16.42,-9.42,-10.1,-8.8,0.384,False
ICPUSDT-5m,XL,MKT,1.5,mid,9173,-14.31,-7.31,-8.1,-6.5,0.35,False
ICPUSDT-5m,XLtrend,MKT,1.5,mid,4213,-15.48,-8.48,-9.8,-7.1,0.335,False
ICPUSDT-5m,loud,PB,1.0,low,12709,-12.64,-5.64,-6.0,-5.3,0.118,False
ICPUSDT-5m,uwd10,PB,1.0,low,9916,-12.03,-5.03,-5.3,-4.8,0.062,False
ICPUSDT-5m,uwd910,PB,1.0,low,19255,-12.23,-5.23,-5.4,-5.0,0.086,False
ICPUSDT-5m,prevBull,PB,1.0,low,14848,-12.4,-5.4,-5.7,-5.2,0.12,False
ICPUSDT-5m,smaAbove,PB,1.0,low,17450,-12.44,-5.44,-5.7,-5.2,0.106,False
ICPUSDT-5m,trendHi,PB,1.0,low,12582,-12.6,-5.6,-5.9,-5.3,0.111,False
ICPUSDT-5m,XL,PB,1.0,low,7746,-12.62,-5.62,-6.0,-5.3,0.087,False
ICPUSDT-5m,XLtrend,PB,1.0,low,3616,-13.04,-6.04,-6.6,-5.4,0.081,False
ICPUSDT-5m,loud,PB,1.0,mid,12709,-12.06,-5.06,-5.3,-4.8,0.063,False
ICPUSDT-5m,uwd10,PB,1.0,mid,9916,-11.69,-4.69,-4.8,-4.5,0.03,False
ICPUSDT-5m,uwd910,PB,1.0,mid,19255,-11.82,-4.82,-4.9,-4.7,0.043,False
ICPUSDT-5m,prevBull,PB,1.0,mid,14848,-12.02,-5.02,-5.2,-4.9,0.062,False
ICPUSDT-5m,smaAbove,PB,1.0,mid,17450,-12.0,-5.0,-5.2,-4.8,0.054,False
ICPUSDT-5m,trendHi,PB,1.0,mid,12582,-12.07,-5.07,-5.3,-4.9,0.057,False
ICPUSDT-5m,XL,PB,1.0,mid,7746,-11.92,-4.92,-5.2,-4.6,0.047,False
ICPUSDT-5m,XLtrend,PB,1.0,mid,3616,-11.86,-4.86,-5.3,-4.4,0.048,False
ICPUSDT-5m,loud,PB,1.5,low,12709,-12.66,-5.66,-6.0,-5.3,0.097,False
ICPUSDT-5m,uwd10,PB,1.5,low,9916,-11.95,-4.95,-5.2,-4.7,0.048,False
ICPUSDT-5m,uwd910,PB,1.5,low,19255,-12.18,-5.18,-5.4,-5.0,0.069,False
ICPUSDT-5m,prevBull,PB,1.5,low,14848,-12.38,-5.38,-5.7,-5.1,0.1,False
ICPUSDT-5m,smaAbove,PB,1.5,low,17450,-12.42,-5.42,-5.7,-5.2,0.088,False
ICPUSDT-5m,trendHi,PB,1.5,low,12582,-12.61,-5.61,-5.9,-5.3,0.092,False
ICPUSDT-5m,XL,PB,1.5,low,7746,-12.64,-5.64,-6.1,-5.2,0.069,False
ICPUSDT-5m,XLtrend,PB,1.5,low,3616,-13.22,-6.22,-6.9,-5.5,0.062,False
ICPUSDT-5m,loud,PB,1.5,mid,12709,-11.98,-4.98,-5.2,-4.7,0.052,False
ICPUSDT-5m,uwd10,PB,1.5,mid,9916,-11.58,-4.58,-4.8,-4.4,0.023,False
ICPUSDT-5m,uwd910,PB,1.5,mid,19255,-11.74,-4.74,-4.9,-4.6,0.035,False
ICPUSDT-5m,prevBull,PB,1.5,mid,14848,-11.92,-4.92,-5.1,-4.7,0.051,False
ICPUSDT-5m,smaAbove,PB,1.5,mid,17450,-11.92,-4.92,-5.1,-4.7,0.045,False
ICPUSDT-5m,trendHi,PB,1.5,mid,12582,-11.99,-4.99,-5.2,-4.7,0.048,False
ICPUSDT-5m,XL,PB,1.5,mid,7746,-11.89,-4.89,-5.2,-4.6,0.037,False
ICPUSDT-5m,XLtrend,PB,1.5,mid,3616,-11.86,-4.86,-5.3,-4.3,0.037,False
ICPUSDT-15m,loud,MKT,1.0,low,5323,-20.85,-13.85,-15.6,-12.2,0.462,False
ICPUSDT-15m,uwd10,MKT,1.0,low,3853,-17.63,-10.63,-12.2,-8.9,0.372,False
ICPUSDT-15m,uwd910,MKT,1.0,low,7744,-19.7,-12.7,-13.9,-11.5,0.404,False
ICPUSDT-15m,prevBull,MKT,1.0,low,5946,-22.98,-15.98,-17.4,-14.6,0.423,False
ICPUSDT-15m,smaAbove,MKT,1.0,low,7150,-22.2,-15.2,-16.4,-13.9,0.432,False
ICPUSDT-15m,trendHi,MKT,1.0,low,5190,-23.4,-16.4,-18.1,-14.9,0.433,False
ICPUSDT-15m,XL,MKT,1.0,low,3172,-19.22,-12.22,-14.4,-10.1,0.41,False
ICPUSDT-15m,XLtrend,MKT,1.0,low,1461,-21.63,-14.63,-18.2,-11.2,0.397,False
ICPUSDT-15m,loud,MKT,1.0,mid,5323,-20.86,-13.86,-15.5,-12.2,0.435,False
ICPUSDT-15m,uwd10,MKT,1.0,mid,3853,-17.45,-10.45,-12.0,-8.8,0.357,False
ICPUSDT-15m,uwd910,MKT,1.0,mid,7744,-19.67,-12.67,-13.8,-11.6,0.382,False
ICPUSDT-15m,prevBull,MKT,1.0,mid,5946,-22.65,-15.65,-17.0,-14.4,0.395,False
ICPUSDT-15m,smaAbove,MKT,1.0,mid,7150,-21.82,-14.82,-16.0,-13.6,0.408,False
ICPUSDT-15m,trendHi,MKT,1.0,mid,5190,-22.93,-15.93,-17.5,-14.4,0.408,False
ICPUSDT-15m,XL,MKT,1.0,mid,3172,-19.01,-12.01,-14.2,-10.0,0.391,False
ICPUSDT-15m,XLtrend,MKT,1.0,mid,1461,-21.28,-14.28,-17.7,-11.0,0.378,False
ICPUSDT-15m,loud,MKT,1.5,low,5323,-18.22,-11.22,-13.3,-9.3,0.407,False
ICPUSDT-15m,uwd10,MKT,1.5,low,3853,-14.94,-7.94,-9.8,-6.0,0.322,False
ICPUSDT-15m,uwd910,MKT,1.5,low,7744,-16.96,-9.96,-11.3,-8.6,0.356,False
ICPUSDT-15m,prevBull,MKT,1.5,low,5946,-20.03,-13.03,-14.6,-11.5,0.382,False
ICPUSDT-15m,smaAbove,MKT,1.5,low,7150,-19.41,-12.41,-13.8,-11.0,0.388,False
ICPUSDT-15m,trendHi,MKT,1.5,low,5190,-20.4,-13.4,-15.2,-11.5,0.389,False
ICPUSDT-15m,XL,MKT,1.5,low,3172,-16.87,-9.87,-12.4,-7.4,0.35,False
ICPUSDT-15m,XLtrend,MKT,1.5,low,1461,-18.52,-11.52,-15.6,-7.5,0.341,False
ICPUSDT-15m,loud,MKT,1.5,mid,5323,-17.93,-10.93,-12.9,-9.0,0.384,False
ICPUSDT-15m,uwd10,MKT,1.5,mid,3853,-14.58,-7.58,-9.4,-5.7,0.309,False
ICPUSDT-15m,uwd910,MKT,1.5,mid,7744,-16.72,-9.72,-11.1,-8.4,0.338,False
ICPUSDT-15m,prevBull,MKT,1.5,mid,5946,-19.66,-12.66,-14.2,-11.2,0.358,False
ICPUSDT-15m,smaAbove,MKT,1.5,mid,7150,-18.88,-11.88,-13.2,-10.5,0.368,False
ICPUSDT-15m,trendHi,MKT,1.5,mid,5190,-19.71,-12.71,-14.5,-11.0,0.369,False
ICPUSDT-15m,XL,MKT,1.5,mid,3172,-16.15,-9.15,-11.6,-6.7,0.335,False
ICPUSDT-15m,XLtrend,MKT,1.5,mid,1461,-17.59,-10.59,-14.6,-6.7,0.327,False
ICPUSDT-15m,loud,PB,1.0,low,4471,-12.6,-5.6,-6.6,-4.6,0.142,False
ICPUSDT-15m,uwd10,PB,1.0,low,3498,-12.98,-5.98,-6.7,-5.2,0.076,False
ICPUSDT-15m,uwd910,PB,1.0,low,6849,-13.05,-6.05,-6.6,-5.4,0.105,False
ICPUSDT-15m,prevBull,PB,1.0,low,5223,-13.64,-6.64,-7.4,-5.8,0.14,False
ICPUSDT-15m,smaAbove,PB,1.0,low,6177,-13.09,-6.09,-6.8,-5.4,0.129,False
ICPUSDT-15m,trendHi,PB,1.0,low,4490,-12.69,-5.69,-6.6,-4.8,0.142,False
ICPUSDT-15m,XL,PB,1.0,low,2747,-13.35,-6.35,-7.6,-5.2,0.105,False
ICPUSDT-15m,XLtrend,PB,1.0,low,1268,-13.4,-6.4,-8.4,-4.4,0.101,False
ICPUSDT-15m,loud,PB,1.0,mid,4471,-13.12,-6.12,-6.7,-5.5,0.068,False
ICPUSDT-15m,uwd10,PB,1.0,mid,3498,-12.67,-5.67,-6.1,-5.2,0.032,False
ICPUSDT-15m,uwd910,PB,1.0,mid,6849,-12.75,-5.75,-6.1,-5.4,0.051,False
ICPUSDT-15m,prevBull,PB,1.0,mid,5223,-13.3,-6.3,-6.8,-5.8,0.069,False
ICPUSDT-15m,smaAbove,PB,1.0,mid,6177,-12.99,-5.99,-6.4,-5.5,0.063,False
ICPUSDT-15m,trendHi,PB,1.0,mid,4490,-12.8,-5.8,-6.4,-5.2,0.073,False
ICPUSDT-15m,XL,PB,1.0,mid,2747,-13.35,-6.35,-7.1,-5.6,0.046,False
ICPUSDT-15m,XLtrend,PB,1.0,mid,1268,-13.65,-6.65,-7.8,-5.4,0.044,False
ICPUSDT-15m,loud,PB,1.5,low,4471,-13.3,-6.3,-7.4,-5.2,0.114,False
ICPUSDT-15m,uwd10,PB,1.5,low,3498,-13.48,-6.48,-7.3,-5.6,0.057,False
ICPUSDT-15m,uwd910,PB,1.5,low,6849,-13.38,-6.38,-7.1,-5.7,0.083,False
ICPUSDT-15m,prevBull,PB,1.5,low,5223,-13.68,-6.68,-7.6,-5.8,0.116,False
ICPUSDT-15m,smaAbove,PB,1.5,low,6177,-13.55,-6.55,-7.3,-5.7,0.105,False
ICPUSDT-15m,trendHi,PB,1.5,low,4490,-13.22,-6.22,-7.2,-5.2,0.116,False
ICPUSDT-15m,XL,PB,1.5,low,2747,-14.05,-7.05,-8.3,-5.7,0.08,False
ICPUSDT-15m,XLtrend,PB,1.5,low,1268,-14.26,-7.26,-9.4,-5.0,0.078,False
ICPUSDT-15m,loud,PB,1.5,mid,4471,-13.41,-6.41,-7.1,-5.7,0.053,False
ICPUSDT-15m,uwd10,PB,1.5,mid,3498,-12.61,-5.61,-6.1,-5.0,0.026,False
ICPUSDT-15m,uwd910,PB,1.5,mid,6849,-12.76,-5.76,-6.2,-5.3,0.041,False
ICPUSDT-15m,prevBull,PB,1.5,mid,5223,-13.21,-6.21,-6.7,-5.6,0.057,False
ICPUSDT-15m,smaAbove,PB,1.5,mid,6177,-13.06,-6.06,-6.6,-5.5,0.051,False
ICPUSDT-15m,trendHi,PB,1.5,mid,4490,-12.88,-5.88,-6.6,-5.2,0.058,False
ICPUSDT-15m,XL,PB,1.5,mid,2747,-13.47,-6.47,-7.3,-5.6,0.034,False
ICPUSDT-15m,XLtrend,PB,1.5,mid,1268,-13.7,-6.7,-8.0,-5.2,0.034,False
ICPUSDT-30m,loud,MKT,1.0,low,2578,-20.86,-13.86,-17.3,-10.6,0.452,False
ICPUSDT-30m,uwd10,MKT,1.0,low,1943,-20.23,-13.23,-16.3,-10.2,0.35,False
ICPUSDT-30m,uwd910,MKT,1.0,low,3906,-20.92,-13.92,-16.2,-11.8,0.394,False
ICPUSDT-30m,prevBull,MKT,1.0,low,3134,-24.84,-17.84,-20.4,-15.3,0.417,False
ICPUSDT-30m,smaAbove,MKT,1.0,low,3493,-24.16,-17.16,-19.7,-14.6,0.421,False
ICPUSDT-30m,trendHi,MKT,1.0,low,2561,-25.39,-18.39,-21.5,-15.4,0.422,False
ICPUSDT-30m,XL,MKT,1.0,low,1551,-17.81,-10.81,-15.0,-6.8,0.412,False
ICPUSDT-30m,XLtrend,MKT,1.0,low,731,-19.95,-12.95,-19.7,-6.7,0.406,False
ICPUSDT-30m,loud,MKT,1.0,mid,2578,-20.91,-13.91,-17.2,-10.9,0.419,False
ICPUSDT-30m,uwd10,MKT,1.0,mid,1943,-19.78,-12.78,-15.7,-10.0,0.334,False
ICPUSDT-30m,uwd910,MKT,1.0,mid,3906,-20.98,-13.98,-16.1,-12.0,0.366,False
ICPUSDT-30m,prevBull,MKT,1.0,mid,3134,-24.64,-17.64,-20.1,-15.2,0.381,False
ICPUSDT-30m,smaAbove,MKT,1.0,mid,3493,-23.86,-16.86,-19.3,-14.4,0.391,False
ICPUSDT-30m,trendHi,MKT,1.0,mid,2561,-25.31,-18.31,-21.3,-15.4,0.389,False
ICPUSDT-30m,XL,MKT,1.0,mid,1551,-18.02,-11.02,-15.1,-7.1,0.384,False
ICPUSDT-30m,XLtrend,MKT,1.0,mid,731,-19.76,-12.76,-19.1,-6.7,0.383,False
ICPUSDT-30m,loud,MKT,1.5,low,2578,-17.28,-10.28,-14.1,-6.4,0.396,False
ICPUSDT-30m,uwd10,MKT,1.5,low,1943,-16.59,-9.59,-13.3,-6.1,0.3,False
ICPUSDT-30m,uwd910,MKT,1.5,low,3906,-16.74,-9.74,-12.4,-7.2,0.35,False
ICPUSDT-30m,prevBull,MKT,1.5,low,3134,-21.35,-14.35,-17.3,-11.5,0.374,False
ICPUSDT-30m,smaAbove,MKT,1.5,low,3493,-20.15,-13.15,-16.1,-10.3,0.379,False
ICPUSDT-30m,trendHi,MKT,1.5,low,2561,-21.38,-14.38,-18.0,-10.9,0.379,False
ICPUSDT-30m,XL,MKT,1.5,low,1551,-14.57,-7.57,-12.6,-2.7,0.351,False
ICPUSDT-30m,XLtrend,MKT,1.5,low,731,-15.02,-8.02,-15.6,-0.5,0.353,False
ICPUSDT-30m,loud,MKT,1.5,mid,2578,-16.25,-9.25,-13.0,-5.5,0.371,False
ICPUSDT-30m,uwd10,MKT,1.5,mid,1943,-15.77,-8.77,-12.4,-5.4,0.287,False
ICPUSDT-30m,uwd910,MKT,1.5,mid,3906,-16.15,-9.15,-11.8,-6.8,0.328,False
ICPUSDT-30m,prevBull,MKT,1.5,mid,3134,-20.48,-13.48,-16.3,-10.7,0.347,False
ICPUSDT-30m,smaAbove,MKT,1.5,mid,3493,-19.47,-12.47,-15.2,-9.9,0.353,False
ICPUSDT-30m,trendHi,MKT,1.5,mid,2561,-20.93,-13.93,-17.3,-10.5,0.349,False
ICPUSDT-30m,XL,MKT,1.5,mid,1551,-13.02,-6.02,-10.9,-1.3,0.335,False
ICPUSDT-30m,XLtrend,MKT,1.5,mid,731,-13.37,-6.37,-13.8,1.1,0.338,False
ICPUSDT-30m,loud,PB,1.0,low,2231,-12.13,-5.13,-7.3,-3.0,0.176,False
ICPUSDT-30m,uwd10,PB,1.0,low,1801,-12.81,-5.81,-7.4,-4.1,0.108,False
ICPUSDT-30m,uwd910,PB,1.0,low,3556,-12.57,-5.57,-6.8,-4.3,0.143,False
ICPUSDT-30m,prevBull,PB,1.0,low,2788,-13.72,-6.72,-8.2,-5.1,0.172,False
ICPUSDT-30m,smaAbove,PB,1.0,low,3091,-12.03,-5.03,-6.5,-3.6,0.171,False
ICPUSDT-30m,trendHi,PB,1.0,low,2269,-11.86,-4.86,-6.8,-3.0,0.176,False
ICPUSDT-30m,XL,PB,1.0,low,1370,-11.77,-4.77,-7.2,-2.2,0.145,False
ICPUSDT-30m,XLtrend,PB,1.0,low,645,-10.55,-3.55,-7.5,0.7,0.152,False
ICPUSDT-30m,loud,PB,1.0,mid,2231,-11.08,-4.08,-5.6,-2.4,0.104,False
ICPUSDT-30m,uwd10,PB,1.0,mid,1801,-11.56,-4.56,-5.8,-3.2,0.058,False
ICPUSDT-30m,uwd910,PB,1.0,mid,3556,-11.86,-4.86,-5.7,-3.9,0.078,False
ICPUSDT-30m,prevBull,PB,1.0,mid,2788,-12.37,-5.37,-6.5,-4.2,0.094,False
ICPUSDT-30m,smaAbove,PB,1.0,mid,3091,-11.65,-4.65,-5.7,-3.5,0.091,False
ICPUSDT-30m,trendHi,PB,1.0,mid,2269,-11.45,-4.45,-5.8,-3.0,0.094,False
ICPUSDT-30m,XL,PB,1.0,mid,1370,-10.41,-3.41,-5.4,-1.4,0.088,False
ICPUSDT-30m,XLtrend,PB,1.0,mid,645,-8.94,-1.94,-5.1,1.4,0.098,False
ICPUSDT-30m,loud,PB,1.5,low,2231,-12.57,-5.57,-8.0,-3.1,0.141,False
ICPUSDT-30m,uwd10,PB,1.5,low,1801,-12.73,-5.73,-7.6,-3.7,0.082,False
ICPUSDT-30m,uwd910,PB,1.5,low,3556,-12.51,-5.51,-7.0,-4.0,0.113,False
