series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-5m,uwd910,PB,1.5,low,21553,-12.28,-5.28,-5.5,-5.0,0.083,False
SOLUSDT-5m,prevBull,PB,1.5,low,17735,-12.26,-5.26,-5.6,-5.0,0.111,False
SOLUSDT-5m,smaAbove,PB,1.5,low,20283,-12.12,-5.12,-5.4,-4.8,0.104,False
SOLUSDT-5m,trendHi,PB,1.5,low,14453,-12.31,-5.31,-5.7,-5.0,0.105,False
SOLUSDT-5m,XL,PB,1.5,low,8219,-12.53,-5.53,-6.0,-5.0,0.082,False
SOLUSDT-5m,XLtrend,PB,1.5,low,3948,-13.17,-6.17,-6.8,-5.5,0.069,False
SOLUSDT-5m,loud,PB,1.5,mid,13403,-11.95,-4.95,-5.2,-4.6,0.055,False
SOLUSDT-5m,uwd10,PB,1.5,mid,11014,-11.81,-4.81,-5.0,-4.6,0.022,False
SOLUSDT-5m,uwd910,PB,1.5,mid,21553,-11.94,-4.94,-5.1,-4.8,0.037,False
SOLUSDT-5m,prevBull,PB,1.5,mid,17735,-12.04,-5.04,-5.2,-4.8,0.053,False
SOLUSDT-5m,smaAbove,PB,1.5,mid,20283,-11.98,-4.98,-5.1,-4.8,0.048,False
SOLUSDT-5m,trendHi,PB,1.5,mid,14453,-12.08,-5.08,-5.3,-4.9,0.05,False
SOLUSDT-5m,XL,PB,1.5,mid,8219,-12.04,-5.04,-5.4,-4.7,0.038,False
SOLUSDT-5m,XLtrend,PB,1.5,mid,3948,-12.46,-5.46,-5.8,-5.0,0.032,False
SOLUSDT-15m,loud,MKT,1.0,low,5423,-18.66,-11.66,-13.9,-9.3,0.444,False
SOLUSDT-15m,uwd10,MKT,1.0,low,4061,-17.34,-10.34,-12.7,-8.0,0.352,False
SOLUSDT-15m,uwd910,MKT,1.0,low,8117,-18.87,-11.87,-13.5,-10.3,0.39,False
SOLUSDT-15m,prevBull,MKT,1.0,low,6837,-20.74,-13.74,-15.2,-12.3,0.417,False
SOLUSDT-15m,smaAbove,MKT,1.0,low,7809,-20.27,-13.27,-14.6,-12.0,0.423,False
SOLUSDT-15m,trendHi,MKT,1.0,low,5668,-21.27,-14.27,-16.0,-12.5,0.418,False
SOLUSDT-15m,XL,MKT,1.0,low,3244,-18.15,-11.15,-14.1,-7.7,0.383,False
SOLUSDT-15m,XLtrend,MKT,1.0,low,1574,-18.24,-11.24,-15.6,-6.7,0.367,False
SOLUSDT-15m,loud,MKT,1.0,mid,5423,-18.94,-11.94,-14.1,-9.8,0.412,False
SOLUSDT-15m,uwd10,MKT,1.0,mid,4061,-17.7,-10.7,-12.9,-8.5,0.331,False
SOLUSDT-15m,uwd910,MKT,1.0,mid,8117,-19.0,-12.0,-13.5,-10.6,0.361,False
SOLUSDT-15m,prevBull,MKT,1.0,mid,6837,-20.66,-13.66,-15.0,-12.3,0.383,False
SOLUSDT-15m,smaAbove,MKT,1.0,mid,7809,-20.38,-13.38,-14.6,-12.1,0.389,False
SOLUSDT-15m,trendHi,MKT,1.0,mid,5668,-21.3,-14.3,-16.0,-12.6,0.387,False
SOLUSDT-15m,XL,MKT,1.0,mid,3244,-18.48,-11.48,-14.4,-8.2,0.354,False
SOLUSDT-15m,XLtrend,MKT,1.0,mid,1574,-18.11,-11.11,-15.2,-6.8,0.339,False
SOLUSDT-15m,loud,MKT,1.5,low,5423,-15.33,-8.33,-11.1,-5.5,0.391,False
SOLUSDT-15m,uwd10,MKT,1.5,low,4061,-13.94,-6.94,-9.7,-4.0,0.306,False
SOLUSDT-15m,uwd910,MKT,1.5,low,8117,-15.31,-8.31,-10.2,-6.4,0.348,False
SOLUSDT-15m,prevBull,MKT,1.5,low,6837,-17.45,-10.45,-12.2,-8.7,0.377,False
SOLUSDT-15m,smaAbove,MKT,1.5,low,7809,-17.12,-10.12,-11.7,-8.6,0.381,False
SOLUSDT-15m,trendHi,MKT,1.5,low,5668,-17.85,-10.85,-12.9,-8.7,0.376,False
SOLUSDT-15m,XL,MKT,1.5,low,3244,-14.76,-7.76,-11.5,-3.4,0.327,False
SOLUSDT-15m,XLtrend,MKT,1.5,low,1574,-14.46,-7.46,-12.6,-2.1,0.313,False
SOLUSDT-15m,loud,MKT,1.5,mid,5423,-15.6,-8.6,-11.2,-5.9,0.362,False
SOLUSDT-15m,uwd10,MKT,1.5,mid,4061,-14.51,-7.51,-10.1,-4.7,0.288,False
SOLUSDT-15m,uwd910,MKT,1.5,mid,8117,-15.53,-8.53,-10.3,-6.7,0.323,False
SOLUSDT-15m,prevBull,MKT,1.5,mid,6837,-17.24,-10.24,-11.9,-8.5,0.348,False
SOLUSDT-15m,smaAbove,MKT,1.5,mid,7809,-17.17,-10.17,-11.6,-8.6,0.352,False
SOLUSDT-15m,trendHi,MKT,1.5,mid,5668,-17.75,-10.75,-12.8,-8.7,0.35,False
SOLUSDT-15m,XL,MKT,1.5,mid,3244,-15.27,-8.27,-11.8,-4.2,0.302,False
SOLUSDT-15m,XLtrend,MKT,1.5,mid,1574,-14.29,-7.29,-12.5,-2.2,0.289,False
SOLUSDT-15m,loud,PB,1.0,low,4623,-12.39,-5.39,-6.8,-4.0,0.157,False
SOLUSDT-15m,uwd10,PB,1.0,low,3739,-12.48,-5.48,-6.5,-4.3,0.103,False
SOLUSDT-15m,uwd910,PB,1.0,low,7347,-12.86,-5.86,-6.6,-5.1,0.137,False
SOLUSDT-15m,prevBull,PB,1.0,low,6055,-12.82,-5.82,-6.7,-4.9,0.164,False
SOLUSDT-15m,smaAbove,PB,1.0,low,6878,-12.22,-5.22,-6.0,-4.5,0.16,False
SOLUSDT-15m,trendHi,PB,1.0,low,4967,-12.65,-5.65,-6.5,-4.7,0.16,False
SOLUSDT-15m,XL,PB,1.0,low,2862,-13.72,-6.72,-8.2,-5.0,0.124,False
SOLUSDT-15m,XLtrend,PB,1.0,low,1372,-14.68,-7.68,-9.3,-5.9,0.108,False
SOLUSDT-15m,loud,PB,1.0,mid,4623,-12.54,-5.54,-6.3,-4.7,0.084,False
SOLUSDT-15m,uwd10,PB,1.0,mid,3739,-12.41,-5.41,-6.0,-4.8,0.049,False
SOLUSDT-15m,uwd910,PB,1.0,mid,7347,-12.44,-5.44,-5.9,-4.8,0.069,False
SOLUSDT-15m,prevBull,PB,1.0,mid,6055,-12.47,-5.47,-6.1,-4.8,0.083,False
SOLUSDT-15m,smaAbove,PB,1.0,mid,6878,-12.24,-5.24,-5.7,-4.7,0.083,False
SOLUSDT-15m,trendHi,PB,1.0,mid,4967,-12.55,-5.55,-6.1,-4.9,0.085,False
