checkpoint_h,tercile,n,P_tp_pct
6,1,441,20.9
6,2,441,35.6
6,3,441,83.0
12,1,441,20.9
12,2,441,35.6
12,3,441,83.0
24,1,441,20.9
24,2,441,35.6
24,3,441,83.0
48,1,441,20.9
48,2,441,35.6
48,3,441,83.0
72,1,441,20.9
72,2,441,35.6
72,3,441,83.0
96,1,441,20.9
96,2,441,35.6
96,3,441,83.0
