checkpoint_h,tercile,n,P_tp_pct
6,1,121,20.7
6,2,120,30.8
6,3,121,67.8
12,1,121,20.7
12,2,120,30.8
12,3,121,67.8
24,1,121,20.7
24,2,120,30.8
24,3,121,67.8
48,1,121,20.7
48,2,120,30.8
48,3,121,67.8
72,1,121,20.7
72,2,120,30.8
72,3,121,67.8
96,1,121,20.7
96,2,120,30.8
96,3,121,67.8
