checkpoint_h,tercile,n,P_tp_pct
6,1,522,33.9
6,2,522,57.3
6,3,523,91.0
12,1,522,33.9
12,2,522,57.3
12,3,523,91.0
24,1,522,33.9
24,2,522,57.3
24,3,523,91.0
48,1,522,33.9
48,2,522,57.3
48,3,523,91.0
72,1,522,33.9
72,2,522,57.3
72,3,523,91.0
96,1,522,33.9
96,2,522,57.3
96,3,523,91.0
