checkpoint_h,tercile,n,P_tp_pct
6,1,738,71.0
6,2,738,87.7
6,3,739,99.1
12,1,738,69.4
12,2,738,89.4
12,3,739,98.9
24,1,738,66.8
24,2,738,91.1
24,3,739,99.9
48,1,738,65.3
48,2,738,92.5
48,3,739,99.9
72,1,738,64.5
72,2,738,93.4
72,3,739,99.9
96,1,738,65.9
96,2,738,92.0
96,3,739,99.9
