checkpoint_h,tercile,n,P_tp_pct
6,1,976,18.4
6,2,975,17.8
6,3,976,47.2
12,1,976,18.4
12,2,975,17.8
12,3,976,47.2
24,1,976,18.4
24,2,975,17.8
24,3,976,47.2
48,1,976,18.4
48,2,975,17.8
48,3,976,47.2
72,1,976,18.4
72,2,975,17.8
72,3,976,47.2
96,1,976,18.4
96,2,975,17.8
96,3,976,47.2
