series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
BTCUSDT-15m,uwd=7,1328,0.677710843373494,0.9382530120481928,0.9126506024096386,1,0.0,11.795216715007594,2.0256039236467593,0.027177221517826422,0.0011
BTCUSDT-15m,uwd=8,3985,0.6348808030112923,0.928732747804266,0.897616060225847,1,0.0,11.46111118631591,4.841881462288817,0.02134326732669256,0.0001
BTCUSDT-15m,uwd=9,3985,0.5636135508155583,0.9139272271016311,0.8767879548306148,2,0.0,11.896188841313556,8.15248604021515,0.00019161346282292602,0.9712
BTCUSDT-15m,uwd=10,3984,0.48744979919678716,0.8905622489959839,0.8431224899598394,2,0.0,12.056392709136944,7.6369529240788685,-0.03318479337872038,0.0
BTCUSDT-15m,uwd_ge=8,11954,0.56198761920696,0.9110757905303664,0.8725112932909487,2,0.0,11.80545098629637,5.96384513093602,-0.027177221517826422,0.0011
BTCUSDT-15m,uwd_ge=9,7969,0.5255364537583135,0.9022462040406576,0.8599573346718534,2,0.0,11.980402418484719,7.15020715104254,-0.028866161854317007,0.0
BTCUSDT-15m,uwd_ge=10,3984,0.48744979919678716,0.8905622489959839,0.8431224899598394,2,0.0,12.056392709136944,7.6369529240788685,-0.03318479337872038,0.0
BTCUSDT-15m,trend=0,2468,0.6049432739059968,0.9278768233387358,0.8885737439222042,1,0.0,14.578926808300972,5.885990696080119,0.01729794410810881,0.0067
BTCUSDT-15m,trend=1,2619,0.5945017182130584,0.9362352042764414,0.9037800687285223,2,0.0,9.09498222484075,5.202160875159062,0.027954232692459335,0.0
BTCUSDT-15m,trend=2,2667,0.5718035245594301,0.9302587176602924,0.8976377952755905,2,0.0,8.492635374170925,6.072816687263951,0.020602570698445954,0.001
BTCUSDT-15m,trend=3,2750,0.5447272727272727,0.8952727272727272,0.8592727272727273,2,0.0,12.058062557569817,-0.9770064226235412,-0.02335621309947178,0.0002
BTCUSDT-15m,trend=4,2778,0.5561555075593952,0.8826493880489561,0.8369330453563715,1,0.0,17.589962243297286,13.399341043196268,-0.039380314921340975,0.0
BTCUSDT-15m,trend_ge=1,10814,0.5663954133530609,0.910578879230627,0.8737747364527464,2,0.0,11.22567918945549,5.4943662696391105,-0.01729794410810881,0.0067
