entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.0,smaBelow,TIME,12,PB_PB,344,-38.3,-79.4,-0.6,0.805,0.028375
PB,1.0,smaBelow,TIME,12,PB_MKT,344,-45.8,-86.9,-8.1,0.805,0.011355
PB,1.0,smaBelow,TIME,12,MKT_MKT,344,-49.3,-90.4,-11.6,0.805,0.007096
PB,1.0,smaBelow,TIME,24,PB_PB,344,-29.92,-78.2,10.3,0.858,0.092446
PB,1.0,smaBelow,TIME,24,PB_MKT,344,-37.42,-85.7,2.8,0.858,0.048643
PB,1.0,smaBelow,TIME,24,MKT_MKT,344,-40.92,-89.2,-0.7,0.858,0.034897
PB,1.0,smaBelow,TIME,48,PB_PB,344,3.77,-45.3,48.2,0.924,0.874206
PB,1.0,smaBelow,TIME,48,PB_MKT,344,-3.73,-52.8,40.7,0.924,0.437886
PB,1.0,smaBelow,TIME,48,MKT_MKT,344,-7.23,-56.3,37.2,0.924,0.380881
PB,1.0,C3_w8q,NOSL,0,PB_PB,278,-2.37,-69.4,49.2,0.939,0.468788
PB,1.0,C3_w8q,NOSL,0,PB_MKT,278,-9.87,-76.9,41.7,0.939,0.372153
PB,1.0,C3_w8q,NOSL,0,MKT_MKT,278,-13.37,-80.4,38.2,0.939,0.329312
PB,1.0,C3_w8q,TIME,12,PB_PB,278,-23.81,-65.3,13.4,0.827,0.117633
PB,1.0,C3_w8q,TIME,12,PB_MKT,278,-31.31,-72.8,5.9,0.827,0.059289
PB,1.0,C3_w8q,TIME,12,MKT_MKT,278,-34.81,-76.3,2.4,0.827,0.041349
PB,1.0,C3_w8q,TIME,24,PB_PB,278,-17.91,-71.9,26.0,0.885,0.23659
PB,1.0,C3_w8q,TIME,24,PB_MKT,278,-25.41,-79.4,18.5,0.885,0.154413
PB,1.0,C3_w8q,TIME,24,MKT_MKT,278,-28.91,-82.9,15.0,0.885,0.12346
PB,1.0,C3_w8q,TIME,48,PB_PB,278,-2.37,-69.4,49.2,0.939,0.468788
PB,1.0,C3_w8q,TIME,48,PB_MKT,278,-9.87,-76.9,41.7,0.939,0.372153
PB,1.0,C3_w8q,TIME,48,MKT_MKT,278,-13.37,-80.4,38.2,0.939,0.329312
PB,1.0,C6_w9dip,NOSL,0,PB_PB,176,66.37,22.2,104.0,0.938,0.001466
PB,1.0,C6_w9dip,NOSL,0,PB_MKT,176,58.87,14.7,96.5,0.938,0.004775
PB,1.0,C6_w9dip,NOSL,0,MKT_MKT,176,55.37,11.2,93.0,0.938,0.007953
PB,1.0,C6_w9dip,TIME,12,PB_PB,176,-2.65,-59.9,45.3,0.841,0.460636
PB,1.0,C6_w9dip,TIME,12,PB_MKT,176,-10.15,-67.4,37.8,0.841,0.352556
PB,1.0,C6_w9dip,TIME,12,MKT_MKT,176,-13.65,-70.9,34.3,0.841,0.305409
PB,1.0,C6_w9dip,TIME,24,PB_PB,176,24.54,-29.4,71.6,0.886,0.341073
PB,1.0,C6_w9dip,TIME,24,PB_MKT,176,17.04,-36.9,64.1,0.886,0.508526
PB,1.0,C6_w9dip,TIME,24,MKT_MKT,176,13.54,-40.4,60.6,0.886,0.599322
PB,1.0,C6_w9dip,TIME,48,PB_PB,176,66.37,22.2,104.0,0.938,0.001466
PB,1.0,C6_w9dip,TIME,48,PB_MKT,176,58.87,14.7,96.5,0.938,0.004775
PB,1.0,C6_w9dip,TIME,48,MKT_MKT,176,55.37,11.2,93.0,0.938,0.007953
PB,1.0,CQ7_w78q,NOSL,0,PB_PB,122,-29.07,-115.5,40.4,0.91,0.232327
PB,1.0,CQ7_w78q,NOSL,0,PB_MKT,122,-36.57,-123.0,32.9,0.91,0.178831
PB,1.0,CQ7_w78q,NOSL,0,MKT_MKT,122,-40.07,-126.5,29.4,0.91,0.156762
PB,1.0,CQ7_w78q,TIME,12,PB_PB,122,-70.44,-133.2,-16.2,0.779,0.009128
PB,1.0,CQ7_w78q,TIME,12,PB_MKT,122,-77.94,-140.7,-23.7,0.779,0.004505
