entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
MKT,1.0,prevBear,TIME,12,MKT_MKT,373,25.05,-6.3,52.9,0.869,0.097098
MKT,1.0,prevBear,TIME,24,PB_PB,373,43.57,8.2,75.4,0.906,0.011061
MKT,1.0,prevBear,TIME,24,PB_MKT,373,36.07,0.7,67.9,0.906,0.035432
MKT,1.0,prevBear,TIME,24,MKT_MKT,373,32.57,-2.8,64.4,0.906,0.057529
MKT,1.0,prevBear,TIME,48,PB_PB,373,56.86,18.9,90.0,0.941,0.001714
MKT,1.0,prevBear,TIME,48,PB_MKT,373,49.36,11.4,82.5,0.941,0.006486
MKT,1.0,prevBear,TIME,48,MKT_MKT,373,45.86,7.9,79.0,0.941,0.011435
MKT,1.0,smaBelow,NOSL,0,PB_PB,381,40.22,-0.1,77.4,0.942,0.041867
MKT,1.0,smaBelow,NOSL,0,PB_MKT,381,32.72,-7.6,69.9,0.942,0.097853
MKT,1.0,smaBelow,NOSL,0,MKT_MKT,381,29.22,-11.1,66.4,0.942,0.139338
MKT,1.0,smaBelow,TIME,12,PB_PB,381,4.44,-31.3,38.1,0.85,0.801771
MKT,1.0,smaBelow,TIME,12,PB_MKT,381,-3.06,-38.8,30.6,0.85,0.431371
MKT,1.0,smaBelow,TIME,12,MKT_MKT,381,-6.56,-42.3,27.1,0.85,0.355422
MKT,1.0,smaBelow,TIME,24,PB_PB,381,12.15,-28.2,49.9,0.89,0.541738
MKT,1.0,smaBelow,TIME,24,PB_MKT,381,4.65,-35.7,42.4,0.89,0.815307
MKT,1.0,smaBelow,TIME,24,MKT_MKT,381,1.15,-39.2,38.9,0.89,0.953877
MKT,1.0,smaBelow,TIME,48,PB_PB,381,40.22,-0.1,77.4,0.942,0.041867
MKT,1.0,smaBelow,TIME,48,PB_MKT,381,32.72,-7.6,69.9,0.942,0.097853
MKT,1.0,smaBelow,TIME,48,MKT_MKT,381,29.22,-11.1,66.4,0.942,0.139338
MKT,1.0,C3_w8q,NOSL,0,PB_PB,300,37.8,-0.1,69.5,0.957,0.033032
MKT,1.0,C3_w8q,NOSL,0,PB_MKT,300,30.3,-7.6,62.0,0.957,0.087492
MKT,1.0,C3_w8q,NOSL,0,MKT_MKT,300,26.8,-11.1,58.5,0.957,0.130682
MKT,1.0,C3_w8q,TIME,12,PB_PB,300,9.51,-19.9,36.8,0.863,0.511112
MKT,1.0,C3_w8q,TIME,12,PB_MKT,300,2.01,-27.4,29.3,0.863,0.889695
MKT,1.0,C3_w8q,TIME,12,MKT_MKT,300,-1.49,-30.9,25.8,0.863,0.458887
MKT,1.0,C3_w8q,TIME,24,PB_PB,300,20.09,-11.5,50.3,0.913,0.202076
MKT,1.0,C3_w8q,TIME,24,PB_MKT,300,12.59,-19.0,42.8,0.913,0.42399
MKT,1.0,C3_w8q,TIME,24,MKT_MKT,300,9.09,-22.5,39.3,0.913,0.563724
MKT,1.0,C3_w8q,TIME,48,PB_PB,300,37.8,-0.1,69.5,0.957,0.033032
MKT,1.0,C3_w8q,TIME,48,PB_MKT,300,30.3,-7.6,62.0,0.957,0.087492
MKT,1.0,C3_w8q,TIME,48,MKT_MKT,300,26.8,-11.1,58.5,0.957,0.130682
MKT,1.0,C6_w9dip,NOSL,0,PB_PB,195,86.16,48.7,120.7,0.949,3e-06
MKT,1.0,C6_w9dip,NOSL,0,PB_MKT,195,78.66,41.2,113.2,0.949,1.9e-05
MKT,1.0,C6_w9dip,NOSL,0,MKT_MKT,195,75.16,37.7,109.7,0.949,4.3e-05
MKT,1.0,C6_w9dip,TIME,12,PB_PB,195,38.01,-7.4,80.8,0.877,0.091184
MKT,1.0,C6_w9dip,TIME,12,PB_MKT,195,30.51,-14.9,73.3,0.877,0.175132
MKT,1.0,C6_w9dip,TIME,12,MKT_MKT,195,27.01,-18.4,69.8,0.877,0.229999
MKT,1.0,C6_w9dip,TIME,24,PB_PB,195,53.76,6.4,94.3,0.908,0.016576
MKT,1.0,C6_w9dip,TIME,24,PB_MKT,195,46.26,-1.1,86.8,0.908,0.039234
MKT,1.0,C6_w9dip,TIME,24,MKT_MKT,195,42.76,-4.6,83.3,0.908,0.056685
MKT,1.0,C6_w9dip,TIME,48,PB_PB,195,86.16,48.7,120.7,0.949,3e-06
MKT,1.0,C6_w9dip,TIME,48,PB_MKT,195,78.66,41.2,113.2,0.949,1.9e-05
MKT,1.0,C6_w9dip,TIME,48,MKT_MKT,195,75.16,37.7,109.7,0.949,4.3e-05
MKT,1.0,CQ7_w78q,NOSL,0,PB_PB,137,12.55,-49.8,66.9,0.949,0.6731
MKT,1.0,CQ7_w78q,NOSL,0,PB_MKT,137,5.05,-57.3,59.4,0.949,0.865168
MKT,1.0,CQ7_w78q,NOSL,0,MKT_MKT,137,1.55,-60.8,55.9,0.949,0.958406
MKT,1.0,CQ7_w78q,TIME,12,PB_PB,137,-30.98,-81.1,17.7,0.847,0.109384
MKT,1.0,CQ7_w78q,TIME,12,PB_MKT,137,-38.48,-88.6,10.2,0.847,0.063313
MKT,1.0,CQ7_w78q,TIME,12,MKT_MKT,137,-41.98,-92.1,6.7,0.847,0.047808
MKT,1.0,CQ7_w78q,TIME,24,PB_PB,137,-6.11,-61.8,41.3,0.905,0.408134
MKT,1.0,CQ7_w78q,TIME,24,PB_MKT,137,-13.61,-69.3,33.8,0.905,0.302384
MKT,1.0,CQ7_w78q,TIME,24,MKT_MKT,137,-17.11,-72.8,30.3,0.905,0.257635
MKT,1.0,CQ7_w78q,TIME,48,PB_PB,137,12.55,-49.8,66.9,0.949,0.6731
MKT,1.0,CQ7_w78q,TIME,48,PB_MKT,137,5.05,-57.3,59.4,0.949,0.865168
MKT,1.0,CQ7_w78q,TIME,48,MKT_MKT,137,1.55,-60.8,55.9,0.949,0.958406
MKT,1.5,ALL,NOSL,0,PB_PB,839,78.29,46.0,107.2,0.902,1e-06
MKT,1.5,ALL,NOSL,0,PB_MKT,839,70.79,38.5,99.7,0.902,6e-06
MKT,1.5,ALL,NOSL,0,MKT_MKT,839,67.29,35.0,96.2,0.902,1.6e-05
MKT,1.5,ALL,TIME,12,PB_PB,839,41.37,18.2,65.4,0.785,0.000602
MKT,1.5,ALL,TIME,12,PB_MKT,839,33.87,10.7,57.9,0.785,0.004972
MKT,1.5,ALL,TIME,12,MKT_MKT,839,30.37,7.2,54.4,0.785,0.011781
MKT,1.5,ALL,TIME,24,PB_PB,839,59.43,31.3,86.4,0.853,2.4e-05
MKT,1.5,ALL,TIME,24,PB_MKT,839,51.93,23.8,78.9,0.853,0.000222
MKT,1.5,ALL,TIME,24,MKT_MKT,839,48.43,20.3,75.4,0.853,0.000573
MKT,1.5,ALL,TIME,48,PB_PB,839,78.29,46.0,107.2,0.902,1e-06
MKT,1.5,ALL,TIME,48,PB_MKT,839,70.79,38.5,99.7,0.902,6e-06
MKT,1.5,ALL,TIME,48,MKT_MKT,839,67.29,35.0,96.2,0.902,1.6e-05
MKT,1.5,quiet,NOSL,0,PB_PB,335,70.57,31.1,101.8,0.946,9.2e-05
MKT,1.5,quiet,NOSL,0,PB_MKT,335,63.07,23.6,94.3,0.946,0.000472
MKT,1.5,quiet,NOSL,0,MKT_MKT,335,59.57,20.1,90.8,0.946,0.00096
MKT,1.5,quiet,TIME,12,PB_PB,335,22.81,-9.5,53.4,0.818,0.154918
MKT,1.5,quiet,TIME,12,PB_MKT,335,15.31,-17.0,45.9,0.818,0.339767
MKT,1.5,quiet,TIME,12,MKT_MKT,335,11.81,-20.5,42.4,0.818,0.461522
MKT,1.5,quiet,TIME,24,PB_PB,335,55.86,21.2,85.4,0.901,0.000656
MKT,1.5,quiet,TIME,24,PB_MKT,335,48.36,13.7,77.9,0.901,0.003177
MKT,1.5,quiet,TIME,24,MKT_MKT,335,44.86,10.2,74.4,0.901,0.006209
MKT,1.5,quiet,TIME,48,PB_PB,335,70.57,31.1,101.8,0.946,9.2e-05
MKT,1.5,quiet,TIME,48,PB_MKT,335,63.07,23.6,94.3,0.946,0.000472
MKT,1.5,quiet,TIME,48,MKT_MKT,335,59.57,20.1,90.8,0.946,0.00096
MKT,1.5,uwd78,NOSL,0,PB_PB,334,43.95,-8.3,90.1,0.907,0.08008
MKT,1.5,uwd78,NOSL,0,PB_MKT,334,36.45,-15.8,82.6,0.907,0.146636
MKT,1.5,uwd78,NOSL,0,MKT_MKT,334,32.95,-19.3,79.1,0.907,0.189479
MKT,1.5,uwd78,TIME,12,PB_PB,334,8.16,-32.2,46.5,0.793,0.684218
MKT,1.5,uwd78,TIME,12,PB_MKT,334,0.66,-39.7,39.0,0.793,0.973728
MKT,1.5,uwd78,TIME,12,MKT_MKT,334,-2.84,-43.2,35.5,0.793,0.443738
MKT,1.5,uwd78,TIME,24,PB_PB,334,22.17,-26.3,65.9,0.859,0.345665
MKT,1.5,uwd78,TIME,24,PB_MKT,334,14.67,-33.8,58.4,0.859,0.532581
MKT,1.5,uwd78,TIME,24,MKT_MKT,334,11.17,-37.3,54.9,0.859,0.634627
MKT,1.5,uwd78,TIME,48,PB_PB,334,43.95,-8.3,90.1,0.907,0.08008
MKT,1.5,uwd78,TIME,48,PB_MKT,334,36.45,-15.8,82.6,0.907,0.146636
MKT,1.5,uwd78,TIME,48,MKT_MKT,334,32.95,-19.3,79.1,0.907,0.189479
MKT,1.5,uwd79,NOSL,0,PB_PB,586,51.79,14.3,87.4,0.901,0.005474
MKT,1.5,uwd79,NOSL,0,PB_MKT,586,44.29,6.8,79.9,0.901,0.017526
MKT,1.5,uwd79,NOSL,0,MKT_MKT,586,40.79,3.3,76.4,0.901,0.028688
MKT,1.5,uwd79,TIME,12,PB_PB,586,27.16,-1.8,54.9,0.794,0.060257
MKT,1.5,uwd79,TIME,12,PB_MKT,586,19.66,-9.3,47.4,0.794,0.173783
MKT,1.5,uwd79,TIME,12,MKT_MKT,586,16.16,-12.8,43.9,0.794,0.263542
MKT,1.5,uwd79,TIME,24,PB_PB,586,34.28,-1.5,67.0,0.858,0.049699
MKT,1.5,uwd79,TIME,24,PB_MKT,586,26.78,-9.0,59.5,0.858,0.12524
MKT,1.5,uwd79,TIME,24,MKT_MKT,586,23.28,-12.5,56.0,0.858,0.182612
MKT,1.5,uwd79,TIME,48,PB_PB,586,51.79,14.3,87.4,0.901,0.005474
MKT,1.5,uwd79,TIME,48,PB_MKT,586,44.29,6.8,79.9,0.901,0.017526
MKT,1.5,uwd79,TIME,48,MKT_MKT,586,40.79,3.3,76.4,0.901,0.028688
MKT,1.5,prevBear,NOSL,0,PB_PB,373,86.69,42.4,131.1,0.914,0.000129
MKT,1.5,prevBear,NOSL,0,PB_MKT,373,79.19,34.9,123.6,0.914,0.000469
MKT,1.5,prevBear,NOSL,0,MKT_MKT,373,75.69,31.4,120.1,0.914,0.000828
MKT,1.5,prevBear,TIME,12,PB_PB,373,53.64,18.4,88.0,0.804,0.002513
MKT,1.5,prevBear,TIME,12,PB_MKT,373,46.14,10.9,80.5,0.804,0.009342
MKT,1.5,prevBear,TIME,12,MKT_MKT,373,42.64,7.4,77.0,0.804,0.016302
MKT,1.5,prevBear,TIME,24,PB_PB,373,76.25,36.3,116.9,0.871,0.000208
MKT,1.5,prevBear,TIME,24,PB_MKT,373,68.75,28.8,109.4,0.871,0.000824
MKT,1.5,prevBear,TIME,24,MKT_MKT,373,65.25,25.3,105.9,0.871,0.001502
MKT,1.5,prevBear,TIME,48,PB_PB,373,86.69,42.4,131.1,0.914,0.000129
MKT,1.5,prevBear,TIME,48,PB_MKT,373,79.19,34.9,123.6,0.914,0.000469
MKT,1.5,prevBear,TIME,48,MKT_MKT,373,75.69,31.4,120.1,0.914,0.000828
MKT,1.5,smaBelow,NOSL,0,PB_PB,381,66.25,17.5,114.2,0.919,0.007241
MKT,1.5,smaBelow,NOSL,0,PB_MKT,381,58.75,10.0,106.7,0.919,0.017241
MKT,1.5,smaBelow,NOSL,0,MKT_MKT,381,55.25,6.5,103.2,0.919,0.025114
MKT,1.5,smaBelow,TIME,12,PB_PB,381,23.66,-15.1,62.7,0.798,0.233221
MKT,1.5,smaBelow,TIME,12,PB_MKT,381,16.16,-22.6,55.2,0.798,0.41553
MKT,1.5,smaBelow,TIME,12,MKT_MKT,381,12.66,-26.1,51.7,0.798,0.523574
MKT,1.5,smaBelow,TIME,24,PB_PB,381,40.47,-4.8,84.6,0.858,0.075969
MKT,1.5,smaBelow,TIME,24,PB_MKT,381,32.97,-12.3,77.1,0.858,0.148252
MKT,1.5,smaBelow,TIME,24,MKT_MKT,381,29.47,-15.8,73.6,0.858,0.196261
MKT,1.5,smaBelow,TIME,48,PB_PB,381,66.25,17.5,114.2,0.919,0.007241
MKT,1.5,smaBelow,TIME,48,PB_MKT,381,58.75,10.0,106.7,0.919,0.017241
MKT,1.5,smaBelow,TIME,48,MKT_MKT,381,55.25,6.5,103.2,0.919,0.025114
MKT,1.5,C3_w8q,NOSL,0,PB_PB,300,75.57,36.1,110.3,0.947,6.5e-05
MKT,1.5,C3_w8q,NOSL,0,PB_MKT,300,68.07,28.6,102.8,0.947,0.000321
MKT,1.5,C3_w8q,NOSL,0,MKT_MKT,300,64.57,25.1,99.3,0.947,0.000643
MKT,1.5,C3_w8q,TIME,12,PB_PB,300,25.85,-7.4,58.0,0.817,0.121037
MKT,1.5,C3_w8q,TIME,12,PB_MKT,300,18.35,-14.9,50.5,0.817,0.271045
MKT,1.5,C3_w8q,TIME,12,MKT_MKT,300,14.85,-18.4,47.0,0.817,0.373055
MKT,1.5,C3_w8q,TIME,24,PB_PB,300,55.86,22.5,88.3,0.897,0.000888
MKT,1.5,C3_w8q,TIME,24,PB_MKT,300,48.36,15.0,80.8,0.897,0.00401
MKT,1.5,C3_w8q,TIME,24,MKT_MKT,300,44.86,11.5,77.3,0.897,0.007605
MKT,1.5,C3_w8q,TIME,48,PB_PB,300,75.57,36.1,110.3,0.947,6.5e-05
MKT,1.5,C3_w8q,TIME,48,PB_MKT,300,68.07,28.6,102.8,0.947,0.000321
MKT,1.5,C3_w8q,TIME,48,MKT_MKT,300,64.57,25.1,99.3,0.947,0.000643
MKT,1.5,C6_w9dip,NOSL,0,PB_PB,195,131.98,85.2,173.9,0.923,0.0
MKT,1.5,C6_w9dip,NOSL,0,PB_MKT,195,124.48,77.7,166.4,0.923,0.0
MKT,1.5,C6_w9dip,NOSL,0,MKT_MKT,195,120.98,74.2,162.9,0.923,0.0
MKT,1.5,C6_w9dip,TIME,12,PB_PB,195,71.89,19.4,121.2,0.826,0.005649
MKT,1.5,C6_w9dip,TIME,12,PB_MKT,195,64.39,11.9,113.7,0.826,0.013184
MKT,1.5,C6_w9dip,TIME,12,MKT_MKT,195,60.89,8.4,110.2,0.826,0.019078
MKT,1.5,C6_w9dip,TIME,24,PB_PB,195,103.19,49.9,150.2,0.887,5.5e-05
MKT,1.5,C6_w9dip,TIME,24,PB_MKT,195,95.69,42.4,142.7,0.887,0.000183
MKT,1.5,C6_w9dip,TIME,24,MKT_MKT,195,92.19,38.9,139.2,0.887,0.000313
MKT,1.5,C6_w9dip,TIME,48,PB_PB,195,131.98,85.2,173.9,0.923,0.0
MKT,1.5,C6_w9dip,TIME,48,PB_MKT,195,124.48,77.7,166.4,0.923,0.0
MKT,1.5,C6_w9dip,TIME,48,MKT_MKT,195,120.98,74.2,162.9,0.923,0.0
MKT,1.5,CQ7_w78q,NOSL,0,PB_PB,137,27.35,-42.9,89.8,0.927,0.419165
MKT,1.5,CQ7_w78q,NOSL,0,PB_MKT,137,19.85,-50.4,82.3,0.927,0.557643
MKT,1.5,CQ7_w78q,NOSL,0,MKT_MKT,137,16.35,-53.9,78.8,0.927,0.629119
MKT,1.5,CQ7_w78q,TIME,12,PB_PB,137,-23.43,-81.6,30.9,0.803,0.207139
MKT,1.5,CQ7_w78q,TIME,12,PB_MKT,137,-30.93,-89.1,23.4,0.803,0.140586
MKT,1.5,CQ7_w78q,TIME,12,MKT_MKT,137,-34.43,-92.6,19.9,0.803,0.115142
MKT,1.5,CQ7_w78q,TIME,24,PB_PB,137,12.19,-49.6,65.2,0.876,0.677361
MKT,1.5,CQ7_w78q,TIME,24,PB_MKT,137,4.69,-57.1,57.7,0.876,0.872878
MKT,1.5,CQ7_w78q,TIME,24,MKT_MKT,137,1.19,-60.6,54.2,0.876,0.967688
MKT,1.5,CQ7_w78q,TIME,48,PB_PB,137,27.35,-42.9,89.8,0.927,0.419165
MKT,1.5,CQ7_w78q,TIME,48,PB_MKT,137,19.85,-50.4,82.3,0.927,0.557643
MKT,1.5,CQ7_w78q,TIME,48,MKT_MKT,137,16.35,-53.9,78.8,0.927,0.629119
