checkpoint_h,tercile,n,P_tp_pct
6,1,266,21.1
6,2,266,16.5
6,3,266,41.7
12,1,266,21.1
12,2,266,16.5
12,3,266,41.7
24,1,266,21.1
24,2,266,16.5
24,3,266,41.7
48,1,266,21.1
48,2,266,16.5
48,3,266,41.7
72,1,266,21.1
72,2,266,16.5
72,3,266,41.7
96,1,266,21.1
96,2,266,16.5
96,3,266,41.7
