trade_id,row,symbol,tf,name,signal_time_ms,entry_time_ms,entry_price,tp_price,sl_price,exit_time_ms,exit_price,exit_reason,hold_hours,gross_bps,stake,pnl_cash,exit_equity,skipped,signal_time_utc,entry_time_utc,exit_time_utc
1,E1,SOLUSDT,30m,W2_NODIP,1733016600000,1733018400000,237.09,240.69,,1733169600000,224.86,TIMEOUT,42.0,-530.8378674764853,250.0,-13.270946686912131,659.9006292902418,False,2024-12-01 01:30:00,2024-12-01 02:00:00,2024-12-02 20:00:00
2,E1,SOLUSDT,30m,W2_NODIP,1733112000000,1733113800000,228.52,231.335,,1733207400000,231.335,TP,26.0,108.1839663924382,187.5,2.028449369858216,791.0139282079231,False,2024-12-02 04:00:00,2024-12-02 04:30:00,2024-12-03 06:30:00
3,E1,SOLUSDT,30m,W2_NODIP,1733149800000,1733151600000,225.86,228.98,,1733153400000,228.98,TP,0.5,123.13866997254831,140.62,1.7315759771539745,564.231575977154,False,2024-12-02 14:30:00,2024-12-02 15:00:00,2024-12-02 15:30:00
4,E1,SOLUSDT,30m,W2_NODIP,1733157000000,1733158800000,226.46,228.445,,1733193000000,228.445,TP,9.5,72.65344873266736,141.06,1.0248495478230057,801.9854788380649,False,2024-12-02 16:30:00,2024-12-02 17:00:00,2024-12-03 02:30:00
5,E1,SOLUSDT,30m,W2_NODIP,1733193000000,1733194800000,228.5,230.34499999999997,,1733207400000,230.34499999999997,TP,3.5,65.74398249452825,200.5,1.3181668490152914,992.8320950569383,False,2024-12-03 02:30:00,2024-12-03 03:00:00,2024-12-03 06:30:00
6,E1,SOLUSDT,30m,W2_NODIP,1733207400000,1733209200000,227.43,232.59,,1733259600000,232.59,TP,14.0,211.8829969660993,248.21,5.2591478676955505,673.8489159289257,False,2024-12-03 06:30:00,2024-12-03 07:00:00,2024-12-03 21:00:00
7,E1,SOLUSDT,30m,W2_NODIP,1733212800000,1733214600000,227.53,229.495,,1733256000000,229.495,TP,11.5,71.36223794664454,186.16,1.3284794216147346,861.3373953505404,False,2024-12-03 08:00:00,2024-12-03 08:30:00,2024-12-03 20:00:00
8,E1,SOLUSDT,30m,W2_NODIP,1733234400000,1733236200000,219.02,222.54500000000002,,1733236200000,222.54500000000002,TP,0.0,145.94420600858396,139.62,2.0376730042918494,560.4997680612302,False,2024-12-03 14:00:00,2024-12-03 14:30:00,2024-12-03 14:30:00
9,E1,SOLUSDT,30m,W2_NODIP,1733238000000,1733239800000,222.84,227.64000000000001,,1733250600000,227.64000000000001,TP,3.0,200.4011847065164,140.12,2.808021400107708,1004.2654167506481,False,2024-12-03 15:00:00,2024-12-03 15:30:00,2024-12-03 18:30:00
10,E1,SOLUSDT,30m,W2_NODIP,1733239800000,1733241600000,223.47,225.06,,1733241600000,225.06,SKIPPED_MAXOPEN,0.0,56.15048999865769,0.0,0.0,420.37976806123015,True,2024-12-03 15:30:00,2024-12-03 16:00:00,2024-12-03 16:00:00
11,E1,SOLUSDT,30m,W2_NODIP,1733241600000,1733243400000,224.48,226.01,,1733250600000,226.01,SKIPPED_MAXOPEN,2.0,53.157519600855366,0.0,0.0,420.37976806123015,True,2024-12-03 16:00:00,2024-12-03 16:30:00,2024-12-03 18:30:00
12,E1,SOLUSDT,30m,W2_NODIP,1733259600000,1733261400000,235.65,238.62,,1733261400000,238.62,TP,0.0,111.03437301082107,251.07,2.7877400031826847,1007.0531567538308,False,2024-12-03 21:00:00,2024-12-03 21:30:00,2024-12-03 21:30:00
13,E1,SOLUSDT,30m,W2_NODIP,1733261400000,1733263200000,237.77,241.10000000000002,,1733288400000,241.10000000000002,TP,7.0,125.0513100895829,251.76,3.148291782815339,824.2985421127731,False,2024-12-03 21:30:00,2024-12-03 22:00:00,2024-12-04 05:00:00
14,E1,SOLUSDT,30m,W2_NODIP,1733268600000,1733270400000,234.19,236.95,,1733270400000,236.95,TP,0.0,102.8530253213199,188.82,1.9420708241171625,757.235227577948,False,2024-12-03 23:30:00,2024-12-04 00:00:00,2024-12-04 00:00:00
15,E1,SOLUSDT,30m,W2_NODIP,1733274000000,1733275800000,237.59,240.40000000000003,,1733277600000,240.40000000000003,TP,0.5,103.27097100046427,189.31,1.955022752009789,759.1902503299577,False,2024-12-04 01:00:00,2024-12-04 01:30:00,2024-12-04 02:00:00
16,E1,SOLUSDT,30m,W2_NODIP,1733277600000,1733279400000,237.0,241.72000000000003,,1733398200000,241.72000000000003,TP,33.0,184.15611814346107,189.8,3.495283122362891,660.41874981265,False,2024-12-04 02:00:00,2024-12-04 02:30:00,2024-12-05 11:30:00
17,E1,SOLUSDT,30m,W2_NODIP,1733288400000,1733290200000,239.99,241.84999999999997,,1733398200000,241.84999999999997,TP,30.0,62.50322930121908,206.07,1.2880040462102216,867.7767538588603,False,2024-12-04 05:00:00,2024-12-04 05:30:00,2024-12-05 11:30:00
18,E1,SOLUSDT,30m,W2_NODIP,1733308200000,1733310000000,236.99,238.88,,1733367600000,238.88,TP,16.0,64.75020043039733,154.56,1.000779097852221,619.2293212106254,False,2024-12-04 10:30:00,2024-12-04 11:00:00,2024-12-05 03:00:00
19,E1,SOLUSDT,30m,W2_NODIP,1733322600000,1733324400000,232.54,234.73000000000002,,1733324400000,234.73000000000002,SKIPPED_MAXOPEN,0.0,79.1773458329761,0.0,0.0,463.6685421127731,True,2024-12-04 14:30:00,2024-12-04 15:00:00,2024-12-04 15:00:00
20,E1,SOLUSDT,30m,W2_NODIP,1733335200000,1733337000000,229.75,232.09,,1733338800000,232.09,SKIPPED_MAXOPEN,0.5,86.84983677910787,0.0,0.0,463.6685421127731,True,2024-12-04 18:00:00,2024-12-04 18:30:00,2024-12-04 19:00:00
21,E1,SOLUSDT,30m,W2_NODIP,1733342400000,1733344200000,234.14,237.74,,1733367600000,237.74,SKIPPED_MAXOPEN,6.5,138.75416417528072,0.0,0.0,463.6685421127731,True,2024-12-04 20:00:00,2024-12-04 20:30:00,2024-12-05 03:00:00
22,E1,SOLUSDT,30m,W2_NODIP,1733346000000,1733347800000,233.47,235.35999999999999,,1733365800000,235.35999999999999,SKIPPED_MAXOPEN,5.0,65.95258491454948,0.0,0.0,463.6685421127731,True,2024-12-04 21:00:00,2024-12-04 21:30:00,2024-12-05 02:30:00
23,E1,SOLUSDT,30m,W2_NODIP,1733362200000,1733364000000,225.96,227.48999999999998,,1733364000000,227.48999999999998,SKIPPED_MAXOPEN,0.0,52.711099309611114,0.0,0.0,463.6685421127731,True,2024-12-05 01:30:00,2024-12-05 02:00:00,2024-12-05 02:00:00
24,E1,SOLUSDT,30m,W2_NODIP,1733365800000,1733367600000,231.83,237.575,,1733367600000,237.575,TP,0.0,232.81089591510917,154.81,3.6041454796618053,622.8334666902872,False,2024-12-05 02:30:00,2024-12-05 03:00:00,2024-12-05 03:00:00
25,E1,SOLUSDT,30m,W2_NODIP,1733367600000,1733369400000,236.45,240.14,,1733396400000,240.14,TP,7.5,141.05836329033613,155.71,2.196419774793824,1025.6831736336542,False,2024-12-05 03:00:00,2024-12-05 03:30:00,2024-12-05 11:00:00
