checkpoint_h,tercile,n,P_tp_pct
6,1,2140,78.0
6,2,2140,93.5
6,3,2140,99.9
12,1,2140,76.6
12,2,2140,94.8
12,3,2140,100.0
24,1,2140,75.6
24,2,2139,95.9
24,3,2141,100.0
48,1,2140,74.7
48,2,2140,96.7
48,3,2140,100.0
72,1,2140,75.0
72,2,2140,96.4
72,3,2140,100.0
96,1,2140,75.6
96,2,2140,95.8
96,3,2140,100.0
