checkpoint_h,tercile,n,P_tp_pct
6,1,1223,42.4
6,2,1223,62.3
6,3,1223,92.2
12,1,1223,42.4
12,2,1223,62.3
12,3,1223,92.2
24,1,1223,42.4
24,2,1223,62.3
24,3,1223,92.2
48,1,1223,42.4
48,2,1223,62.3
48,3,1223,92.2
72,1,1223,42.4
72,2,1223,62.3
72,3,1223,92.2
96,1,1223,42.4
96,2,1223,62.3
96,3,1223,92.2
