checkpoint_h,tercile,n,P_tp_pct
6,1,496,11.9
6,2,496,12.7
6,3,496,36.7
12,1,496,11.9
12,2,496,12.7
12,3,496,36.7
24,1,496,11.9
24,2,496,12.7
24,3,496,36.7
48,1,496,11.9
48,2,496,12.7
48,3,496,36.7
72,1,496,11.9
72,2,496,12.7
72,3,496,36.7
96,1,496,11.9
96,2,496,12.7
96,3,496,36.7
