checkpoint_h,tercile,n,P_tp_pct
6,1,2129,29.7
6,2,2128,50.4
6,3,2129,90.4
12,1,2129,29.7
12,2,2128,50.4
12,3,2129,90.4
24,1,2129,29.7
24,2,2128,50.4
24,3,2129,90.4
48,1,2129,29.7
48,2,2128,50.4
48,3,2129,90.4
72,1,2129,29.7
72,2,2128,50.4
72,3,2129,90.4
96,1,2129,29.7
96,2,2128,50.4
96,3,2129,90.4
