hour,P_filled,hazard
0,0.13812154696132597,0.0
1,0.2596685082872928,-0.8799999999999999
2,0.3342541436464088,-0.2872340425531914
3,0.39779005524861877,-0.1900826446280992
4,0.4447513812154696,-0.11805555555555554
5,0.48342541436464087,-0.08695652173913047
6,0.48342541436464087,0.0
7,0.48342541436464087,0.0
8,0.48342541436464087,0.0
9,0.48342541436464087,0.0
10,0.48342541436464087,0.0
11,0.48342541436464087,0.0
12,0.48342541436464087,0.0
13,0.48342541436464087,0.0
14,0.48342541436464087,0.0
15,0.48342541436464087,0.0
16,0.48342541436464087,0.0
17,0.48342541436464087,0.0
18,0.48342541436464087,0.0
19,0.48342541436464087,0.0
20,0.48342541436464087,0.0
21,0.48342541436464087,0.0
22,0.48342541436464087,0.0
23,0.48342541436464087,0.0
24,0.48342541436464087,0.0
25,0.48342541436464087,0.0
26,0.48342541436464087,0.0
27,0.48342541436464087,0.0
28,0.48342541436464087,0.0
29,0.48342541436464087,0.0
30,0.48342541436464087,0.0
31,0.48342541436464087,0.0
32,0.48342541436464087,0.0
33,0.48342541436464087,0.0
34,0.48342541436464087,0.0
35,0.48342541436464087,0.0
36,0.48342541436464087,0.0
37,0.48342541436464087,0.0
38,0.48342541436464087,0.0
39,0.48342541436464087,0.0
40,0.48342541436464087,0.0
41,0.48342541436464087,0.0
42,0.48342541436464087,0.0
43,0.48342541436464087,0.0
44,0.48342541436464087,0.0
45,0.48342541436464087,0.0
46,0.48342541436464087,0.0
47,0.48342541436464087,0.0
48,0.48342541436464087,0.0
49,0.48342541436464087,0.0
50,0.48342541436464087,0.0
51,0.48342541436464087,0.0
52,0.48342541436464087,0.0
53,0.48342541436464087,0.0
54,0.48342541436464087,0.0
55,0.48342541436464087,0.0
56,0.48342541436464087,0.0
57,0.48342541436464087,0.0
58,0.48342541436464087,0.0
59,0.48342541436464087,0.0
60,0.48342541436464087,0.0
61,0.48342541436464087,0.0
62,0.48342541436464087,0.0
63,0.48342541436464087,0.0
64,0.48342541436464087,0.0
65,0.48342541436464087,0.0
66,0.48342541436464087,0.0
67,0.48342541436464087,0.0
68,0.48342541436464087,0.0
69,0.48342541436464087,0.0
70,0.48342541436464087,0.0
71,0.48342541436464087,0.0
72,0.48342541436464087,0.0
73,0.48342541436464087,0.0
74,0.48342541436464087,0.0
75,0.48342541436464087,0.0
76,0.48342541436464087,0.0
77,0.48342541436464087,0.0
78,0.48342541436464087,0.0
79,0.48342541436464087,0.0
80,0.48342541436464087,0.0
81,0.48342541436464087,0.0
82,0.48342541436464087,0.0
83,0.48342541436464087,0.0
84,0.48342541436464087,0.0
85,0.48342541436464087,0.0
86,0.48342541436464087,0.0
87,0.48342541436464087,0.0
88,0.48342541436464087,0.0
89,0.48342541436464087,0.0
90,0.48342541436464087,0.0
91,0.48342541436464087,0.0
92,0.48342541436464087,0.0
93,0.48342541436464087,0.0
94,0.48342541436464087,0.0
95,0.48342541436464087,0.0
96,0.48342541436464087,0.0
