checkpoint_h,tercile,n,P_tp_pct
6,1,498,39.8
6,2,497,59.0
6,3,498,93.0
12,1,498,39.8
12,2,497,59.0
12,3,498,93.0
24,1,498,39.8
24,2,497,59.0
24,3,498,93.0
48,1,498,39.8
48,2,497,59.0
48,3,498,93.0
72,1,498,39.8
72,2,497,59.0
72,3,498,93.0
96,1,498,39.8
96,2,497,59.0
96,3,498,93.0
