checkpoint_h,tercile,n,P_tp_pct
6,1,425,29.2
6,2,424,44.1
6,3,425,79.5
12,1,425,29.2
12,2,424,44.1
12,3,425,79.5
24,1,425,29.2
24,2,424,44.1
24,3,425,79.5
48,1,425,29.2
48,2,424,44.1
48,3,425,79.5
72,1,425,29.2
72,2,424,44.1
72,3,425,79.5
96,1,425,29.2
96,2,424,44.1
96,3,425,79.5
