entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval,bh_sig
PB,1.5,smaBelow,TIME,48,PB_MKT,344,19.7,-36.9,70.5,0.901,0.472231,False
PB,1.5,C3_w8q,NOSL,0,PB_MKT,278,25.58,-42.1,79.8,0.928,0.41096,False
PB,1.5,C3_w8q,TIME,12,PB_MKT,278,-22.28,-67.9,19.0,0.773,0.157381,False
PB,1.5,C3_w8q,TIME,24,PB_MKT,278,2.63,-55.8,51.1,0.863,0.923274,False
PB,1.5,C3_w8q,TIME,48,PB_MKT,278,25.58,-42.1,79.8,0.928,0.41096,False
PB,1.5,C6_w9dip,NOSL,0,PB_MKT,176,103.71,51.3,149.0,0.915,3.2e-05,True
PB,1.5,C6_w9dip,TIME,12,PB_MKT,176,12.93,-49.2,66.3,0.784,0.660726,False
PB,1.5,C6_w9dip,TIME,24,PB_MKT,176,53.4,-9.4,109.2,0.864,0.077582,False
PB,1.5,C6_w9dip,TIME,48,PB_MKT,176,103.71,51.3,149.0,0.915,3.2e-05,True
PB,1.5,CQ7_w78q,NOSL,0,PB_MKT,122,-26.27,-120.9,50.6,0.885,0.274182,False
PB,1.5,CQ7_w78q,TIME,12,PB_MKT,122,-71.82,-139.2,-11.5,0.738,0.013756,True
PB,1.5,CQ7_w78q,TIME,24,PB_MKT,122,-33.64,-108.7,29.2,0.82,0.169595,False
PB,1.5,CQ7_w78q,TIME,48,PB_MKT,122,-26.27,-120.9,50.6,0.885,0.274182,False
MKT,1.0,ALL,NOSL,0,PB_MKT,839,46.18,18.8,69.8,0.934,0.000392,True
MKT,1.0,ALL,TIME,12,PB_MKT,839,18.19,-1.9,38.7,0.844,0.079,False
MKT,1.0,ALL,TIME,24,PB_MKT,839,27.81,3.8,50.5,0.894,0.019765,False
MKT,1.0,ALL,TIME,48,PB_MKT,839,46.18,18.8,69.8,0.934,0.000392,True
MKT,1.0,quiet,NOSL,0,PB_MKT,335,29.13,-7.3,57.6,0.958,0.078522,False
MKT,1.0,quiet,TIME,12,PB_MKT,335,1.34,-26.0,26.7,0.869,0.920845,False
MKT,1.0,quiet,TIME,24,PB_MKT,335,15.72,-15.3,41.2,0.919,0.275472,False
MKT,1.0,quiet,TIME,48,PB_MKT,335,29.13,-7.3,57.6,0.958,0.078522,False
MKT,1.0,uwd78,NOSL,0,PB_MKT,334,28.32,-13.7,64.5,0.94,0.155974,False
MKT,1.0,uwd78,TIME,12,PB_MKT,334,-12.6,-48.2,19.7,0.838,0.233343,False
MKT,1.0,uwd78,TIME,24,PB_MKT,334,2.68,-38.4,39.1,0.898,0.892184,False
MKT,1.0,uwd78,TIME,48,PB_MKT,334,28.32,-13.7,64.5,0.94,0.155974,False
MKT,1.0,uwd79,NOSL,0,PB_MKT,586,27.32,-3.2,55.4,0.932,0.067509,False
MKT,1.0,uwd79,TIME,12,PB_MKT,586,4.71,-19.9,28.1,0.846,0.700289,False
MKT,1.0,uwd79,TIME,24,PB_MKT,586,6.88,-22.2,34.3,0.894,0.633144,False
MKT,1.0,uwd79,TIME,48,PB_MKT,586,27.32,-3.2,55.4,0.932,0.067509,False
MKT,1.0,prevBear,NOSL,0,PB_MKT,373,49.36,11.4,82.5,0.941,0.006486,True
MKT,1.0,prevBear,TIME,12,PB_MKT,373,28.55,-2.8,56.4,0.869,0.05864,False
MKT,1.0,prevBear,TIME,24,PB_MKT,373,36.07,0.7,67.9,0.906,0.035432,False
MKT,1.0,prevBear,TIME,48,PB_MKT,373,49.36,11.4,82.5,0.941,0.006486,True
