series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,pf,sig_maker
SOLUSDT-5m,ALL,PB,1.0,mid,35230,-11.95,-4.95,-5.1,-4.8,0.066,0.67,False
SOLUSDT-5m,quiet,PB,1.0,mid,14669,-12.02,-5.02,-5.2,-4.9,0.061,0.57,False
SOLUSDT-5m,uwd78,PB,1.0,mid,13677,-11.95,-4.95,-5.2,-4.7,0.094,0.73,False
SOLUSDT-5m,uwd79,PB,1.0,mid,24216,-12.0,-5.0,-5.2,-4.8,0.083,0.7,False
SOLUSDT-5m,prevBear,PB,1.0,mid,16871,-11.83,-4.83,-5.0,-4.6,0.068,0.7,False
SOLUSDT-5m,smaBelow,PB,1.0,mid,14943,-11.93,-4.93,-5.2,-4.7,0.073,0.7,False
SOLUSDT-5m,C3_w8q,PB,1.0,mid,13154,-11.96,-4.96,-5.1,-4.8,0.059,0.58,False
SOLUSDT-5m,C6_w9dip,PB,1.0,mid,8446,-11.8,-4.8,-5.1,-4.5,0.055,0.7,False
SOLUSDT-5m,CQ7_w78q,PB,1.0,mid,5676,-12.16,-5.16,-5.4,-4.9,0.087,0.61,False
SOLUSDT-5m,ALL,PB,1.5,low,35230,-12.08,-5.08,-5.3,-4.9,0.113,0.79,False
SOLUSDT-5m,quiet,PB,1.5,low,14669,-12.09,-5.09,-5.3,-4.9,0.113,0.74,False
SOLUSDT-5m,uwd78,PB,1.5,low,13677,-11.76,-4.76,-5.1,-4.4,0.16,0.88,False
SOLUSDT-5m,uwd79,PB,1.5,low,24216,-11.98,-4.98,-5.2,-4.7,0.141,0.83,False
SOLUSDT-5m,prevBear,PB,1.5,low,16871,-11.91,-4.91,-5.2,-4.6,0.116,0.82,False
SOLUSDT-5m,smaBelow,PB,1.5,low,14943,-12.03,-5.03,-5.4,-4.7,0.126,0.82,False
SOLUSDT-5m,C3_w8q,PB,1.5,low,13154,-12.02,-5.02,-5.3,-4.8,0.108,0.76,False
SOLUSDT-5m,C6_w9dip,PB,1.5,low,8446,-11.99,-4.99,-5.5,-4.5,0.097,0.8,False
SOLUSDT-5m,CQ7_w78q,PB,1.5,low,5676,-12.09,-5.09,-5.5,-4.7,0.159,0.79,False
SOLUSDT-5m,ALL,PB,1.5,mid,35230,-11.89,-4.89,-5.0,-4.7,0.054,0.7,False
SOLUSDT-5m,quiet,PB,1.5,mid,14669,-11.88,-4.88,-5.0,-4.7,0.052,0.64,False
SOLUSDT-5m,uwd78,PB,1.5,mid,13677,-11.81,-4.81,-5.1,-4.6,0.08,0.78,False
SOLUSDT-5m,uwd79,PB,1.5,mid,24216,-11.93,-4.93,-5.1,-4.7,0.069,0.73,False
SOLUSDT-5m,prevBear,PB,1.5,mid,16871,-11.75,-4.75,-5.0,-4.5,0.056,0.74,False
SOLUSDT-5m,smaBelow,PB,1.5,mid,14943,-11.77,-4.77,-5.0,-4.5,0.061,0.76,False
SOLUSDT-5m,C3_w8q,PB,1.5,mid,13154,-11.82,-4.82,-5.0,-4.6,0.05,0.65,False
SOLUSDT-5m,C6_w9dip,PB,1.5,mid,8446,-11.69,-4.69,-5.0,-4.3,0.045,0.75,False
SOLUSDT-5m,CQ7_w78q,PB,1.5,mid,5676,-12.0,-5.0,-5.3,-4.7,0.076,0.67,False
SOLUSDT-15m,ALL,MKT,1.0,low,13537,-19.77,-12.77,-13.8,-11.7,0.435,0.64,False
SOLUSDT-15m,quiet,MKT,1.0,low,5502,-20.35,-13.35,-14.5,-12.2,0.426,0.53,False
SOLUSDT-15m,uwd78,MKT,1.0,low,5420,-21.13,-14.13,-15.6,-12.7,0.504,0.6,False
SOLUSDT-15m,uwd79,MKT,1.0,low,9476,-20.82,-13.82,-15.0,-12.6,0.471,0.61,False
SOLUSDT-15m,prevBear,MKT,1.0,low,6572,-18.75,-11.75,-13.4,-10.1,0.455,0.67,False
SOLUSDT-15m,smaBelow,MKT,1.0,low,5727,-19.1,-12.1,-14.0,-10.1,0.453,0.66,False
SOLUSDT-15m,C3_w8q,MKT,1.0,low,4963,-20.34,-13.34,-14.6,-12.2,0.415,0.53,False
SOLUSDT-15m,C6_w9dip,MKT,1.0,low,3109,-18.14,-11.14,-14.1,-8.0,0.414,0.71,False
