checkpoint_h,tercile,n,P_tp_pct
6,1,532,17.3
6,2,532,26.3
6,3,532,71.1
12,1,532,17.3
12,2,532,26.3
12,3,532,71.1
24,1,532,17.3
24,2,532,26.3
24,3,532,71.1
48,1,532,17.3
48,2,532,26.3
48,3,532,71.1
72,1,532,17.3
72,2,532,26.3
72,3,532,71.1
96,1,532,17.3
96,2,532,26.3
96,3,532,71.1
