series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-5m,uwd79,MKT,1.5,NOSL,28365,-12.4,-5.4,-6.5,-4.2,0.874,False
SOLUSDT-5m,prevBear,MKT,1.5,NOSL,19447,-11.11,-4.11,-5.7,-2.6,0.872,False
SOLUSDT-5m,smaBelow,MKT,1.5,NOSL,17116,-10.88,-3.88,-5.7,-2.2,0.877,False
SOLUSDT-5m,C3_w8q,MKT,1.5,NOSL,14606,-11.07,-4.07,-5.4,-2.7,0.888,False
SOLUSDT-5m,C6_w9dip,MKT,1.5,NOSL,9473,-10.07,-3.07,-6.0,-0.3,0.867,False
SOLUSDT-5m,CQ7_w78q,MKT,1.5,NOSL,6458,-13.54,-6.54,-8.4,-4.8,0.901,False
SOLUSDT-5m,ALL,PB,1.0,low,35230,-12.1,-5.1,-5.3,-4.9,0.137,False
SOLUSDT-5m,quiet,PB,1.0,low,14669,-12.22,-5.22,-5.4,-5.0,0.134,False
SOLUSDT-5m,uwd78,PB,1.0,low,13677,-11.83,-4.83,-5.1,-4.5,0.188,False
SOLUSDT-5m,uwd79,PB,1.0,low,24216,-12.01,-5.01,-5.3,-4.8,0.169,False
SOLUSDT-5m,prevBear,PB,1.0,low,16871,-11.98,-4.98,-5.2,-4.7,0.14,False
SOLUSDT-5m,smaBelow,PB,1.0,low,14943,-12.13,-5.13,-5.4,-4.8,0.15,False
SOLUSDT-5m,C3_w8q,PB,1.0,low,13154,-12.14,-5.14,-5.3,-4.9,0.129,False
SOLUSDT-5m,C6_w9dip,PB,1.0,low,8446,-12.02,-5.02,-5.4,-4.6,0.119,False
SOLUSDT-5m,CQ7_w78q,PB,1.0,low,5676,-12.21,-5.21,-5.5,-4.8,0.185,False
SOLUSDT-5m,ALL,PB,1.0,mid,35230,-11.95,-4.95,-5.1,-4.8,0.066,False
SOLUSDT-5m,quiet,PB,1.0,mid,14669,-12.02,-5.02,-5.2,-4.9,0.061,False
SOLUSDT-5m,uwd78,PB,1.0,mid,13677,-11.95,-4.95,-5.2,-4.7,0.094,False
SOLUSDT-5m,uwd79,PB,1.0,mid,24216,-12.0,-5.0,-5.2,-4.8,0.083,False
SOLUSDT-5m,prevBear,PB,1.0,mid,16871,-11.83,-4.83,-5.0,-4.6,0.068,False
SOLUSDT-5m,smaBelow,PB,1.0,mid,14943,-11.93,-4.93,-5.2,-4.7,0.073,False
SOLUSDT-5m,C3_w8q,PB,1.0,mid,13154,-11.96,-4.96,-5.1,-4.8,0.059,False
SOLUSDT-5m,C6_w9dip,PB,1.0,mid,8446,-11.8,-4.8,-5.1,-4.5,0.055,False
SOLUSDT-5m,CQ7_w78q,PB,1.0,mid,5676,-12.16,-5.16,-5.4,-4.9,0.087,False
SOLUSDT-5m,ALL,PB,1.0,NOSL,35230,-7.84,-0.84,-1.9,0.2,0.876,False
SOLUSDT-5m,quiet,PB,1.0,NOSL,14669,-7.12,-0.12,-1.3,1.0,0.909,False
SOLUSDT-5m,uwd78,PB,1.0,NOSL,13677,-6.15,0.85,-0.8,2.4,0.886,False
SOLUSDT-5m,uwd79,PB,1.0,NOSL,24216,-6.57,0.43,-0.8,1.6,0.884,False
SOLUSDT-5m,prevBear,PB,1.0,NOSL,16871,-7.46,-0.46,-2.1,1.1,0.885,False
SOLUSDT-5m,smaBelow,PB,1.0,NOSL,14943,-7.15,-0.15,-1.9,1.5,0.892,False
SOLUSDT-5m,C3_w8q,PB,1.0,NOSL,13154,-6.84,0.16,-1.2,1.5,0.909,False
SOLUSDT-5m,C6_w9dip,PB,1.0,NOSL,8446,-8.31,-1.31,-4.0,1.2,0.887,False
SOLUSDT-5m,CQ7_w78q,PB,1.0,NOSL,5676,-6.01,0.99,-0.8,2.8,0.918,False
SOLUSDT-5m,ALL,PB,1.5,low,35230,-12.08,-5.08,-5.3,-4.9,0.113,False
SOLUSDT-5m,quiet,PB,1.5,low,14669,-12.09,-5.09,-5.3,-4.9,0.113,False
SOLUSDT-5m,uwd78,PB,1.5,low,13677,-11.76,-4.76,-5.1,-4.4,0.16,False
SOLUSDT-5m,uwd79,PB,1.5,low,24216,-11.98,-4.98,-5.2,-4.7,0.141,False
SOLUSDT-5m,prevBear,PB,1.5,low,16871,-11.91,-4.91,-5.2,-4.6,0.116,False
SOLUSDT-5m,smaBelow,PB,1.5,low,14943,-12.03,-5.03,-5.4,-4.7,0.126,False
SOLUSDT-5m,C3_w8q,PB,1.5,low,13154,-12.02,-5.02,-5.3,-4.8,0.108,False
SOLUSDT-5m,C6_w9dip,PB,1.5,low,8446,-11.99,-4.99,-5.5,-4.5,0.097,False
SOLUSDT-5m,CQ7_w78q,PB,1.5,low,5676,-12.09,-5.09,-5.5,-4.7,0.159,False
SOLUSDT-5m,ALL,PB,1.5,mid,35230,-11.89,-4.89,-5.0,-4.7,0.054,False
SOLUSDT-5m,quiet,PB,1.5,mid,14669,-11.88,-4.88,-5.0,-4.7,0.052,False
SOLUSDT-5m,uwd78,PB,1.5,mid,13677,-11.81,-4.81,-5.1,-4.6,0.08,False
SOLUSDT-5m,uwd79,PB,1.5,mid,24216,-11.93,-4.93,-5.1,-4.7,0.069,False
