checkpoint_h,tercile,n,P_tp_pct
6,1,5340,39.4
6,2,5339,58.1
6,3,5340,92.8
12,1,5340,39.4
12,2,5339,58.1
12,3,5340,92.8
24,1,5340,39.4
24,2,5339,58.1
24,3,5340,92.8
48,1,5340,39.4
48,2,5339,58.1
48,3,5340,92.8
72,1,5340,39.4
72,2,5339,58.1
72,3,5340,92.8
96,1,5340,39.4
96,2,5339,58.1
96,3,5340,92.8
