checkpoint_h,tercile,n,P_tp_pct
6,1,2034,79.8
6,2,2033,92.8
6,3,2034,100.0
12,1,2034,78.7
12,2,2033,93.9
12,3,2034,100.0
24,1,2034,77.0
24,2,2033,95.6
24,3,2034,100.0
48,1,2034,75.9
48,2,2033,96.8
48,3,2034,100.0
72,1,2034,76.5
72,2,2033,96.1
72,3,2034,100.0
96,1,2034,77.4
96,2,2033,95.2
96,3,2034,100.0
