1704067200000,101.72000000,102.79000000,101.56000000,102.36000000,72512.92000000,1704068099999,7417161.94370000,10727,40583.41000000,4150753.75880000,0
1704068100000,102.35000000,102.53000000,101.69000000,102.07000000,54573.73000000,1704068999999,5573194.44360000,7614,27344.04000000,2792538.99770000,0
1704069000000,102.05000000,102.50000000,101.63000000,102.18000000,41633.49000000,1704069899999,4248240.21660000,5686,24459.59000000,2496168.54470000,0
1704069900000,102.16000000,102.28000000,101.93000000,101.96000000,27960.79000000,1704070799999,2854388.96390000,3429,17307.91000000,1766961.66930000,0
1704070800000,101.96000000,102.56000000,101.51000000,102.40000000,55046.53000000,1704071699999,5612889.15230000,6538,26965.03000000,2751014.95930000,0
1704071700000,102.39000000,102.52000000,102.15000000,102.38000000,25466.10000000,1704072599999,2605849.05900000,2982,15633.77000000,1599818.18570000,0
1704072600000,102.38000000,104.50000000,102.38000000,104.35000000,98306.81000000,1704073499999,10202615.34330000,14450,60184.11000000,6244904.92820000,0
1704073500000,104.34000000,104.75000000,103.83000000,104.12000000,63275.89000000,1704074399999,6601988.93200000,7094,29895.64000000,3119307.04000000,0
1704074400000,104.11000000,104.21000000,103.35000000,103.59000000,45376.28000000,1704075299999,4701743.88170000,5572,21209.88000000,2197150.68810000,0
1704075300000,103.58000000,103.81000000,103.22000000,103.59000000,20661.17000000,1704076199999,2138575.63190000,3030,11436.07000000,1183672.14870000,0
1704076200000,103.59000000,104.34000000,103.53000000,103.95000000,32451.65000000,1704077099999,3372617.64250000,4749,18310.08000000,1903138.80070000,0
1704077100000,103.95000000,104.28000000,103.63000000,103.69000000,27454.17000000,1704077999999,2854208.19950000,3564,12419.76000000,1291653.82130000,0
1704078000000,103.69000000,103.99000000,103.32000000,103.38000000,22591.84000000,1704078899999,2340695.00650000,3409,10218.94000000,1058796.94360000,0
1704078900000,103.38000000,103.39000000,102.58000000,102.91000000,43381.92000000,1704079799999,4464461.91360000,6147,18228.18000000,1875664.12580000,0
1704079800000,102.92000000,103.63000000,102.61000000,103.04000000,34172.33000000,1704080699999,3523795.65550000,5353,15422.87000000,1590517.57690000,0
1704080700000,103.04000000,103.10000000,102.54000000,103.07000000,26603.11000000,1704081599999,2736116.97830000,4250,12548.44000000,1290701.58570000,0
1704081600000,103.07000000,103.98000000,102.66000000,102.67000000,41109.26000000,1704082499999,4250043.63110000,7432,17444.57000000,1803928.93200000,0
