1735689600000000,93576.00000000,93898.05000000,93489.03000000,93761.90000000,271.27422000,1735691399999999,25410468.28746640,40266,115.51515000,10821401.25043520,0
1735691400000000,93761.90000000,94509.42000000,93761.89000000,94401.14000000,484.71588000,1735693199999999,45658342.27199740,53259,305.56804000,28775376.52949070,0
1735693200000000,94401.13000000,94408.72000000,93819.60000000,93825.86000000,387.23250000,1735694999999999,36401964.37692810,46486,177.76295000,16713208.47830820,0
1735695000000000,93825.86000000,93989.37000000,93578.77000000,93607.74000000,199.30206000,1735696799999999,18694642.52967270,33457,79.65728000,7474729.84755500,0
1735696800000000,93607.74000000,93805.16000000,93594.56000000,93742.52000000,152.93592000,1735698599999999,14335456.80502060,31070,102.81563000,9637541.18333950,0
1735698600000000,93742.51000000,94105.12000000,93742.51000000,94098.91000000,123.84453000,1735700399999999,11638633.83078880,24008,82.53641000,7756229.24890850,0
1735700400000000,94098.90000000,94098.91000000,93766.23000000,93830.89000000,112.48847000,1735702199999999,10566593.29531710,21449,52.11469000,4895808.77287680,0
1735702200000000,93830.90000000,93891.15000000,93728.22000000,93838.04000000,108.50455000,1735703999999999,10181447.71108840,13552,67.80671000,6362856.40982320,0
1735704000000000,93838.04000000,93838.04000000,93679.07000000,93738.09000000,141.00467000,1735705799999999,13216765.75142230,18691,86.38050000,8096596.86650240,0
1735705800000000,93738.09000000,93738.10000000,93500.00000000,93553.91000000,138.46442000,1735707599999999,12962290.37372720,19906,46.60497000,4364027.89828720,0
1735707600000000,93553.91000000,93933.33000000,93547.40000000,93891.74000000,141.23578000,1735709399999999,13234482.08366970,19381,92.53414000,8672059.48575650,0
1735709400000000,93891.74000000,93937.19000000,93792.01000000,93792.02000000,67.94362000,1735711199999999,6376308.76864820,14458,30.68404000,2879515.54243310,0
1735711200000000,93792.02000000,93792.02000000,93603.21000000,93654.50000000,94.66068000,1735712999999999,8868018.22040860,14579,40.33184000,3778065.37755970,0
1735713000000000,93654.50000000,93757.58000000,93568.38000000,93757.58000000,177.61778000,1735714799999999,16635557.64687530,15487,125.57379000,11761240.01509680,0
1735714800000000,93757.57000000,93786.04000000,93664.08000000,93786.03000000,72.64035000,1735716599999999,6807575.64686530,11669,38.40324000,3599046.10643320,0
1735716600000000,93786.03000000,93800.00000000,93664.09000000,93684.10000000,125.29423000,1735718399999999,11744073.21824520,11222,31.98621000,2998651.30609700,0
1735718400000000,93684.11000000,93756.02000000,93304.00000000,93416.41000000,317.37640000,1735720199999999,29696215.49613430,22216,88.39311000,8272655.24243330,0
1735720200000000,93416.41000000,93547.83000000,93320.00000000,93428.46000000,164.33533000,1735721999999999,15358814.48621030,29248,73.74524000,6892144.72620200,0
1735722000000000,93428.47000000,93486.29000000,92888.00000000,93141.91000000,431.78652000,1735723799999999,40226244.09927870,54899,161.06821000,15013261.56223930,0
1735723800000000,93141.91000000,93446.48000000,93001.00000000,93413.06000000,366.71121000,1735725599999999,34183578.81976230,38580,243.48290000,22702303.28179960,0
1735725600000000,93413.07000000,93536.75000000,93357.67000000,93410.25000000,138.87580000,1735727399999999,12978782.51610990,25761,57.35924000,5361172.51839490,0
1735727400000000,93410.25000000,93509.74000000,93284.00000000,93326.23000000,126.67612000,1735729199999999,11828252.14970500,23552,61.50365000,5742815.15289610,0
1735729200000000,93326.24000000,93485.88000000,93200.00000000,93485.88000000,159.94019000,1735730999999999,14932047.63506590,28830,92.40912000,8628132.74148370,0
1735731000000000,93485.88000000,93705.08000000,93402.00000000,93444.64000000,161.78206000,1735732799999999,15132317.50051670,29312,94.50594000,8840709.44613140,0
1735732800000000,93444.65000000,93972.00000000,93407.07000000,93888.31000000,334.71719000,1735734599999999,31355340.60089430,35736,247.01479000,23143078.57715590,0
1735734600000000,93888.30000000,93909.10000000,93700.73000000,93820.76000000,164.63894000,1735736399999999,15446106.98080150,23192,95.35021000,8946163.15726210,0
1735736400000000,93820.75000000,93900.00000000,93600.28000000,93729.30000000,162.40121000,1735738199999999,15222754.73373410,34941,78.37380000,7347044.95076040,0
1735738200000000,93729.30000000,94058.79000000,93724.00000000,94031.76000000,177.96266000,1735739999999999,16708604.96790360,29538,119.07059000,11180990.57300640,0
1735740000000000,94031.77000000,94450.85000000,93883.66000000,93919.99000000,406.18562000,1735741799999999,38268736.85846100,65303,239.21667000,22538060.15351440,0
1735741800000000,93919.99000000,94225.58000000,93671.48000000,94175.89000000,345.72135000,1735743599999999,32504149.04136050,58979,173.71497000,16333626.77962080,0
