row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E4,range_contract,volrange,1470,1466,8,47,0.024,0.0415,0.577,-1.8,0.137636,False,55,1415,96.3,8,47,2.4,4.1,1.734,76.9,-2.1,51.48,2.77,6.0,20.37,81.95,False,False,
E4,range_pctile_high,volrange,1470,1463,142,406,0.4264,0.3593,1.187,6.7,0.026116,False,548,922,62.7,142,406,42.4,35.8,0.844,79.1,0.1,25.47,-23.25,4.1,-7.17,55.38,False,False,
E4,vol_regime_high,volrange,1470,1463,0,0,0.0,0.0,inf,0.0,1.0,False,0,1470,100.0,0,0,0.0,0.0,nan,77.2,-1.8,48.72,0.0,7.5,18.03,78.86,False,False,
E4,low_volume,volrange,1470,1466,13,73,0.0389,0.0645,0.604,-2.6,0.080612,False,86,1384,94.1,13,73,3.9,6.4,1.657,76.7,-2.2,51.51,2.79,5.4,21.07,81.8,False,False,
E4,volume_slope_up,volrange,1470,1469,193,529,0.5761,0.4665,1.235,11.0,0.000421,True,722,748,50.9,193,529,57.6,46.6,0.809,81.0,2.0,53.49,4.78,4.0,19.55,87.37,False,False,
E4,above_ma20,trend,1470,1466,196,654,0.5868,0.5777,1.016,0.9,0.767473,False,850,620,42.2,196,654,58.5,57.6,0.985,77.6,-1.4,60.68,11.97,4.8,7.79,109.85,False,False,
E4,below_ma20,trend,1470,1466,138,478,0.4132,0.4223,0.978,-0.9,0.767473,False,616,854,58.1,138,478,41.2,42.1,1.022,76.9,-2.0,40.3,-8.41,3.5,3.2,74.46,False,False,
E4,ma_bull,trend,1470,1463,175,662,0.5255,0.5858,0.897,-6.0,0.050576,False,837,633,43.1,175,662,52.2,58.3,1.117,74.7,-4.3,25.54,-23.17,4.9,-16.18,71.52,False,False,
E4,ma_bear,trend,1470,1463,158,468,0.4745,0.4142,1.146,6.0,0.050576,False,626,844,57.4,158,468,47.2,41.2,0.874,79.0,0.0,66.17,17.45,4.5,27.03,103.84,False,False,
E4,pullback_deep,trend,1470,1466,0,0,0.0,0.0,inf,0.0,1.0,False,0,1470,100.0,0,0,0.0,0.0,nan,77.2,-1.8,48.72,0.0,7.5,18.03,78.86,False,False,
E4,at_recent_high,trend,1470,1466,67,268,0.2006,0.2367,0.847,-3.6,0.166763,False,335,1135,77.2,67,268,20.0,23.6,1.181,76.4,-2.6,43.28,-5.44,6.2,10.45,76.1,False,False,
E4,red_streak_ge2,trend,1470,1470,89,195,0.2657,0.1718,1.546,9.4,0.000131,True,284,1186,80.7,89,195,26.6,17.2,0.647,79.3,0.3,61.94,13.23,4.8,31.93,92.08,False,True,
E4,red_streak_ge3,trend,1470,1470,35,90,0.1045,0.0793,1.318,2.5,0.146507,False,125,1345,91.5,35,90,10.4,7.9,0.759,77.7,-1.3,52.74,4.02,6.5,23.37,81.4,False,False,
E4,green_streak_ge2,trend,1470,1470,86,368,0.2567,0.3242,0.792,-6.8,0.018768,True,454,1016,69.1,86,368,25.7,32.4,1.263,75.5,-3.5,39.34,-9.38,7.4,0.83,75.74,False,False,
E4,green_streak_ge3,trend,1470,1470,39,186,0.1164,0.1639,0.71,-4.7,0.034013,False,225,1245,84.7,39,186,11.6,16.4,1.408,76.2,-2.8,42.03,-6.68,7.6,8.24,74.14,False,False,
E4,bars_since_high_ge10,trend,1470,1466,153,524,0.4581,0.4629,0.99,-0.5,0.876771,False,677,793,53.9,153,524,45.7,46.2,1.011,77.0,-1.9,39.15,-9.57,4.2,-3.44,79.52,False,False,
E4,hour_0_6,time,1470,1470,150,437,0.4478,0.385,1.163,6.3,0.039375,False,587,883,60.1,150,437,44.8,38.5,0.86,79.0,0.1,56.43,7.72,5.2,16.66,95.24,False,False,
E4,hour_6_12,time,1470,1470,80,343,0.2388,0.3022,0.79,-6.3,0.024311,False,423,1047,71.2,80,343,23.9,30.2,1.265,75.6,-3.3,38.31,-10.4,5.6,1.41,72.59,False,False,
E4,hour_12_18,time,1470,1470,105,355,0.3134,0.3128,1.002,0.1,0.981805,False,460,1010,68.7,105,355,31.3,31.3,0.998,77.2,-1.8,52.75,4.04,4.5,19.64,84.93,False,False,
