hour,P_filled,hazard
0,0.34522905593520625,0.0
1,0.34522905593520625,0.0
2,0.34522905593520625,0.0
3,0.4801316122500633,-0.39076246334310866
4,0.4801316122500633,0.0
5,0.4801316122500633,0.0
6,0.5509997468995191,-0.14760147601476017
7,0.5509997468995191,0.0
8,0.5509997468995191,0.0
9,0.5509997468995191,0.0
10,0.5509997468995191,0.0
11,0.6049101493292838,-0.09784106568672488
12,0.6049101493292838,0.0
13,0.6049101493292838,0.0
14,0.6385725132877752,-0.05564853556485339
15,0.6385725132877752,0.0
16,0.6385725132877752,0.0
17,0.6385725132877752,0.0
18,0.6385725132877752,0.0
19,0.6666666666666666,-0.04399524375743165
20,0.6666666666666666,0.0
21,0.6666666666666666,0.0
22,0.689445709946849,-0.03416856492027348
23,0.689445709946849,0.0
24,0.689445709946849,0.0
25,0.689445709946849,0.0
26,0.689445709946849,0.0
27,0.7086813464945584,-0.027900146842878108
28,0.7086813464945584,0.0
29,0.7086813464945584,0.0
30,0.7261452796760314,-0.024642857142857064
31,0.7261452796760314,0.0
32,0.7261452796760314,0.0
33,0.7261452796760314,0.0
34,0.7261452796760314,0.0
35,0.7405720070868135,-0.019867549668874204
36,0.7405720070868135,0.0
37,0.7405720070868135,0.0
38,0.7504429258415591,-0.01332877648667126
39,0.7504429258415591,0.0
40,0.7504429258415591,0.0
41,0.7504429258415591,0.0
42,0.7504429258415591,0.0
43,0.7598076436345229,-0.012478920741989835
44,0.7598076436345229,0.0
45,0.7598076436345229,0.0
46,0.768413059984814,-0.01132578281145908
47,0.768413059984814,0.0
48,0.768413059984814,0.0
49,0.768413059984814,0.0
50,0.768413059984814,0.0
51,0.7762591748924323,-0.010210803689064563
52,0.7762591748924323,0.0
53,0.7762591748924323,0.0
54,0.7823335864338142,-0.007825236387349145
55,0.7823335864338142,0.0
56,0.7823335864338142,0.0
57,0.7823335864338142,0.0
58,0.7823335864338142,0.0
59,0.7879017970134143,-0.007117437722419937
60,0.7879017970134143,0.0
61,0.7879017970134143,0.0
62,0.7942293090356871,-0.008030838419530912
63,0.7942293090356871,0.0
64,0.7942293090356871,0.0
65,0.7942293090356871,0.0
66,0.7942293090356871,0.0
67,0.7980258162490509,-0.004780114722753435
68,0.7980258162490509,0.0
69,0.7980258162490509,0.0
70,0.8025816249050873,-0.005708848715509033
71,0.8025816249050873,0.0
72,0.8025816249050873,0.0
73,0.8025816249050873,0.0
74,0.8025816249050873,0.0
75,0.8068843330802329,-0.005361084831283532
76,0.8068843330802329,0.0
77,0.8068843330802329,0.0
78,0.812199443178942,-0.006587202007528132
79,0.812199443178942,0.0
80,0.812199443178942,0.0
81,0.812199443178942,0.0
82,0.812199443178942,0.0
83,0.8170083523158694,-0.005920847616079876
84,0.8170083523158694,0.0
85,0.8170083523158694,0.0
86,0.8200455580865603,-0.0037174721189590135
87,0.8200455580865603,0.0
88,0.8200455580865603,0.0
89,0.8200455580865603,0.0
90,0.8200455580865603,0.0
91,0.8228296633763604,-0.0033950617283951337
92,0.8228296633763604,0.0
93,0.8228296633763604,0.0
94,0.8266261705897241,-0.004613964933866453
95,0.8266261705897241,0.0
96,0.8266261705897241,0.0
