checkpoint_h,tercile,n,P_tp_pct
6,1,1281,75.1
6,2,1281,89.6
6,3,1282,99.8
12,1,1281,73.5
12,2,1281,91.0
12,3,1282,100.0
24,1,1281,71.4
24,2,1281,93.1
24,3,1282,100.0
48,1,1281,70.6
48,2,1281,94.0
48,3,1282,100.0
72,1,1281,71.7
72,2,1281,92.9
72,3,1282,100.0
96,1,1281,72.3
96,2,1281,92.4
96,3,1282,99.8
