hour,P_filled,hazard
0,0.2798705385237796,0.0
1,0.4182324912343792,-0.49437841310632824
2,0.4948305313314753,-0.18314703353396383
3,0.5476939674548233,-0.10683139534883726
4,0.5889598130000899,-0.07534471437951414
5,0.6181785489526207,-0.04961074645092349
6,0.643801132787917,-0.041448516579406666
7,0.6643891036590848,-0.03197877391425773
8,0.6832689022745662,-0.028416779431664346
9,0.6989121639845366,-0.022894736842105416
10,0.7127573496358895,-0.019809621816310637
11,0.7258833048637957,-0.01841574167507571
12,0.7372111840330846,-0.01560564775823637
13,0.7469207947496179,-0.013170731707317076
14,0.757439539692529,-0.014082811747713002
15,0.7655308819563067,-0.010682492581602329
16,0.7731727052054302,-0.009982384028185699
17,0.7800053942281758,-0.008837209302325483
18,0.7859390452216128,-0.007607192254495146
19,0.7909736581857413,-0.006405856783344843
20,0.7955587521352153,-0.005796771993634887
21,0.8008630765081363,-0.0066674200474629505
22,0.8054481704576103,-0.005725190839694628
23,0.8089544187719141,-0.004353164415671516
24,0.8137193203272498,-0.005890197821738064
25,0.8187539332913782,-0.0061871616395979025
26,0.8230693158320597,-0.005270670912484843
27,0.8260361413287782,-0.0036045876570180843
28,0.8292726782342893,-0.003918154114061776
29,0.8324193113368695,-0.003794449262792706
30,0.8355659444394498,-0.0037801058429635945
31,0.83871257754203,-0.003765870454056372
32,0.8417693068416794,-0.003644549255011281
33,0.8435673829002966,-0.002136067499732968
34,0.8460846893823609,-0.0029841202174145714
35,0.8478827654409782,-0.0021251726702794364
36,0.8500404567113189,-0.0025447990669069803
37,0.8517486289670053,-0.0020095187731359173
38,0.8539962240402769,-0.002638800928857865
39,0.8560640115076867,-0.0024213075060532745
40,0.8581317989750966,-0.002415458937198073
41,0.8602894902454373,-0.0025144054478784426
42,0.8620875663040547,-0.0020900825582611574
43,0.8632563157421559,-0.001355720095943221
44,0.8648745841949115,-0.001874609456363301
45,0.8660433336330127,-0.0013513513513513042
46,0.8676616020857683,-0.0018685767673622359
47,0.8692798705385237,-0.0018650917003418487
48,0.8707183313854177,-0.0016547729858311156
49,0.8717072732176571,-0.001135776974703041
50,0.8729659264586892,-0.0014438943894389915
51,0.8745841949114448,-0.0018537590113285702
52,0.8756630405466151,-0.0012335526315789336
53,0.8767418861817855,-0.0012320328542094318
54,0.877730828014025,-0.0011279737489745885
55,0.8788096736491954,-0.0012291303902488852
56,0.8796188078755731,-0.0009207161125319275
57,0.880427942101951,-0.0009198691741619814
58,0.8813269801312595,-0.001021137547227537
59,0.8821361143576373,-0.0009180863001121689
60,0.8824058257664299,-0.0003057480635956253
61,0.8828553447810843,-0.0005094243504840418
62,0.8839341904162547,-0.0012219959266802306
63,0.8848332284455632,-0.001017087062652489
64,0.8854625550660793,-0.00071123755334284
65,0.8864514968983188,-0.0011168646563103042
66,0.8870808235188349,-0.0007099391480730457
67,0.8878000539422818,-0.0008107834194790626
68,0.8884293805627979,-0.0007088607594936942
69,0.8890587071833138,-0.000708358631855798
70,0.8898678414096917,-0.0009101021336839748
71,0.890317360424346,-0.0005051525560718969
72,0.8910365908477929,-0.0008078360092901051
73,0.8913063022565855,-0.00030269397638989763
74,0.8920255326800324,-0.0008069396812588169
75,0.8926548593005484,-0.0007055029227978463
76,0.8933740897239953,-0.0008057206163762625
77,0.8938236087386496,-0.0005031699708161051
78,0.8945428391620965,-0.0008046670690001922
79,0.8953519733884744,-0.0009045226130654097
80,0.8960712038119213,-0.0008032935033637826
81,0.896880338038299,-0.0009029798334503452
82,0.8975995684617459,-0.000801924619085797
83,0.8979591836734694,-0.0004006410256410212
84,0.8984087026881237,-0.0005006007208650016
85,0.8991279331115706,-0.0008005603922745833
86,0.899487548323294,-0.0003999600039995956
87,0.9001168749438101,-0.0006996501749125669
88,0.9004764901555335,-0.000399520575309624
89,0.900836105367257,-0.00039936102236421284
90,0.9012856243819114,-0.0004990019960080709
91,0.9018250471994965,-0.0005985037406483108
92,0.9025442776229434,-0.0007975276642408445
93,0.9027240852288052,-0.00019922303018234837
94,0.9030837004405287,-0.00039836669654416446
95,0.903533219455183,-0.0004977600796415764
96,0.9043423536815607,-0.0008955223880596608
