checkpoint_h,tercile,n,P_tp_pct
6,1,2619,82.8
6,2,2619,94.3
6,3,2620,100.0
12,1,2619,82.1
12,2,2619,95.0
12,3,2620,100.0
24,1,2619,81.0
24,2,2619,96.1
24,3,2620,100.0
48,1,2619,81.1
48,2,2619,96.0
48,3,2620,100.0
72,1,2619,81.6
72,2,2619,95.5
72,3,2620,100.0
96,1,2619,82.6
96,2,2619,94.5
96,3,2620,100.0
