checkpoint_h,tercile,n,P_tp_pct
6,1,476,72.3
6,2,476,88.7
6,3,477,99.8
12,1,476,69.5
12,2,476,91.4
12,3,477,99.8
24,1,476,68.5
24,2,476,92.4
24,3,477,99.8
48,1,476,66.2
48,2,476,94.7
48,3,477,99.8
72,1,476,66.0
72,2,476,95.0
72,3,477,99.8
96,1,476,67.4
96,2,476,93.5
96,3,477,99.8
