checkpoint_h,tercile,n,P_tp_pct
6,1,203,68.0
6,2,203,82.8
6,3,204,96.1
12,1,203,65.5
12,2,203,82.8
12,3,204,98.5
24,1,203,61.6
24,2,203,87.2
24,3,204,98.0
48,1,203,64.5
48,2,203,83.3
48,3,204,99.0
72,1,203,61.1
72,2,203,86.7
72,3,204,99.0
96,1,203,60.1
96,2,203,87.7
96,3,204,99.0
