checkpoint_h,tercile,n,P_tp_pct
6,1,139,78.4
6,2,139,94.2
6,3,140,99.3
12,1,139,78.4
12,2,139,94.2
12,3,140,99.3
24,1,139,77.7
24,2,139,95.0
24,3,140,99.3
48,1,139,74.8
48,2,139,97.8
48,3,140,99.3
72,1,139,75.5
72,2,139,97.1
72,3,140,99.3
96,1,139,74.8
96,2,139,97.8
96,3,140,99.3
