checkpoint_h,tercile,n,P_tp_pct
6,1,5482,83.2
6,2,5482,94.9
6,3,5482,99.9
12,1,5482,82.3
12,2,5482,95.7
12,3,5482,100.0
24,1,5482,81.3
24,2,5482,96.8
24,3,5482,100.0
48,1,5482,81.0
48,2,5482,97.0
48,3,5482,100.0
72,1,5482,81.2
72,2,5482,96.8
72,3,5482,100.0
96,1,5482,81.6
96,2,5482,96.4
96,3,5482,100.0
