checkpoint_h,tercile,n,P_tp_pct
6,1,39,66.7
6,2,39,84.6
6,3,40,100.0
12,1,39,71.8
12,2,39,79.5
12,3,40,100.0
24,1,39,66.7
24,2,39,84.6
24,3,40,100.0
48,1,39,69.2
48,2,39,82.1
48,3,40,100.0
72,1,39,64.1
72,2,39,87.2
72,3,40,100.0
96,1,39,64.1
96,2,39,87.2
96,3,40,100.0
