hour,P_filled,hazard
0,0.18213058419243985,0.0
1,0.41512027491408937,-1.279245283018868
2,0.5292096219931272,-0.2748344370860927
3,0.6096219931271478,-0.15194805194805203
4,0.6563573883161512,-0.07666290868094691
5,0.6859106529209622,-0.045026178010471214
6,0.7134020618556701,-0.0400801603206413
7,0.7319587628865979,-0.026011560693641526
8,0.7498281786941581,-0.02441314553990617
9,0.7608247422680412,-0.014665444546287758
10,0.7725085910652921,-0.015356820234869107
11,0.7835051546391752,-0.014234875444839807
12,0.7910652920962199,-0.00964912280701751
13,0.7993127147766323,-0.010425716768027905
14,0.8089347079037801,-0.012037833190025752
15,0.8164948453608247,-0.00934579439252333
16,0.8206185567010309,-0.005050505050505033
17,0.8247422680412371,-0.005025125628140686
18,0.8274914089347079,-0.003333333333333322
19,0.8350515463917526,-0.009136212624584819
20,0.8371134020618557,-0.002469135802469127
21,0.8412371134020619,-0.004926108374384219
22,0.8439862542955326,-0.0032679738562091387
23,0.8494845360824742,-0.006514657980456003
24,0.8542955326460481,-0.0056634304207119545
25,0.8584192439862542,-0.004827031375703925
26,0.8646048109965636,-0.007205764611689456
27,0.8666666666666667,-0.0023847376788553175
28,0.8701030927835052,-0.003965107057890549
29,0.8742268041237113,-0.004739336492890978
30,0.8776632302405498,-0.003930817610062879
31,0.8797250859106529,-0.002349256068911503
32,0.8838487972508591,-0.004687499999999983
33,0.8859106529209622,-0.002332814930015544
34,0.8886597938144329,-0.0031031807602792754
35,0.8914089347079038,-0.0030935808197990315
36,0.8920962199312715,-0.000771010023130298
37,0.8934707903780069,-0.00154083204930662
38,0.8941580756013746,-0.0007692307692307664
39,0.8948453608247423,-0.000768639508070712
40,0.8975945017182131,-0.0030721966205837065
41,0.9030927835051547,-0.006125574272588033
42,0.9065292096219931,-0.0038051750380517367
43,0.9106529209621993,-0.004548900682335086
44,0.9120274914089347,-0.0015094339622641457
45,0.9134020618556701,-0.0015071590052750511
46,0.9140893470790378,-0.0007524454477050388
47,0.9154639175257732,-0.0015037593984962353
48,0.9182130584192439,-0.0030030030030029926
49,0.9195876288659793,-0.0014970059880239468
50,0.9223367697594502,-0.0029895366218237276
51,0.9230240549828179,-0.0007451564828613982
52,0.9243986254295533,-0.0014892032762472023
53,0.9243986254295533,0.0
54,0.9264604810996564,-0.0022304832713754565
55,0.9278350515463918,-0.0014836795252225466
56,0.9285223367697595,-0.0007407407407407381
57,0.9292096219931272,-0.000740192450037007
58,0.9298969072164949,-0.0007396449704141986
59,0.9298969072164949,0.0
60,0.9298969072164949,0.0
61,0.9312714776632303,-0.0014781966001478145
62,0.9312714776632303,0.0
63,0.9326460481099657,-0.0014760147601475962
64,0.9326460481099657,0.0
65,0.9326460481099657,0.0
66,0.9333333333333333,-0.0007369196757553401
67,0.9333333333333333,0.0
68,0.9333333333333333,0.0
69,0.934020618556701,-0.0007363770250368162
70,0.9353951890034364,-0.001471670345842526
71,0.9360824742268041,-0.000734753857457749
72,0.9360824742268041,0.0
73,0.9360824742268041,0.0
74,0.9374570446735395,-0.0014684287812041063
75,0.9374570446735395,0.0
76,0.9374570446735395,0.0
77,0.9374570446735395,0.0
78,0.9388316151202749,-0.0014662756598240417
79,0.9388316151202749,0.0
80,0.9395189003436426,-0.0007320644216691043
81,0.9402061855670103,-0.0007315288953913654
82,0.9402061855670103,0.0
83,0.9402061855670103,0.0
84,0.9402061855670103,0.0
85,0.9402061855670103,0.0
86,0.9402061855670103,0.0
87,0.9402061855670103,0.0
88,0.9402061855670103,0.0
89,0.9402061855670103,0.0
90,0.9402061855670103,0.0
91,0.9402061855670103,0.0
92,0.9402061855670103,0.0
93,0.940893470790378,-0.000730994152046781
94,0.940893470790378,0.0
95,0.940893470790378,0.0
96,0.9415807560137457,-0.0007304601899196468
