checkpoint_h,tercile,n,P_tp_pct
6,1,233,78.1
6,2,232,94.0
6,3,233,99.6
12,1,233,79.4
12,2,232,92.2
12,3,233,100.0
24,1,233,76.4
24,2,232,95.3
24,3,233,100.0
48,1,233,76.0
48,2,232,95.7
48,3,233,100.0
72,1,233,76.8
72,2,232,94.8
72,3,233,100.0
96,1,233,74.7
96,2,232,97.4
96,3,233,99.6
