row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E2,rvol_top_q,volume,6101,6099,182,1038,0.3268,0.1873,1.745,13.9,0.0,True,1220,4881,80.0,182,1038,32.7,18.7,0.573,92.3,1.2,12.45,2.19,2.5,8.14,16.8,False,True,
E2,prev_rvol_ge_2_0,volume,6101,6099,235,2028,0.4219,0.3659,1.153,5.6,0.009146,True,2263,3838,62.9,235,2028,42.2,36.6,0.867,91.6,0.5,9.27,-0.99,2.5,4.13,14.46,False,False,
E2,event_vol_gt_prev,volume,6101,6101,353,3147,0.6338,0.5676,1.116,6.6,0.002634,True,3500,2601,42.6,353,3147,63.4,56.8,0.896,92.2,1.1,11.59,1.33,1.8,5.27,17.67,False,False,
E2,rr_and_rvol_ge_2_0,combo,6101,6099,61,416,0.1095,0.0751,1.459,3.4,0.003893,True,477,5624,92.2,61,416,11.0,7.5,0.685,91.2,0.1,9.06,-1.2,3.7,4.51,13.59,False,False,
E2,event_red_and_rvol_ge_2_0,combo,6101,6099,159,939,0.2855,0.1694,1.685,11.6,0.0,True,1098,5003,82.0,159,939,28.5,16.9,0.593,92.0,0.9,9.14,-1.12,3.1,4.5,13.57,False,True,
E2,event_red_and_rvol_ge_1_3,combo,6101,6099,201,1396,0.3609,0.2519,1.433,10.9,0.0,True,1597,4504,73.8,201,1396,36.1,25.2,0.698,92.1,1.0,7.53,-2.73,3.1,2.78,12.17,False,False,
E2,event_red_and_rvol_top_q,combo,6101,6099,84,362,0.1508,0.0653,2.309,8.5,0.0,True,446,5655,92.7,84,362,15.1,6.5,0.433,91.6,0.5,10.27,0.01,3.6,5.83,14.47,False,True,
E3,event_red,color,2215,2215,164,806,0.5256,0.4235,1.241,10.2,0.000754,True,970,1245,56.2,164,806,52.6,42.4,0.806,88.1,1.3,15.86,-4.56,2.3,-0.41,30.2,False,False,
E3,event_green,color,2215,2215,148,1096,0.4744,0.5759,0.824,-10.2,0.000804,True,1244,971,43.8,148,1096,47.4,57.6,1.214,83.1,-3.7,26.39,5.96,1.5,7.03,44.03,False,False,
E3,prev_red,color,2215,2215,134,792,0.4295,0.4162,1.032,1.3,0.658818,False,926,1289,58.2,134,792,42.9,41.6,0.969,86.2,-0.6,26.21,5.79,2.1,10.96,40.31,False,False,
