hour,P_filled,hazard
0,0.20125786163522014,0.0
1,0.20125786163522014,0.0
2,0.20125786163522014,0.0
3,0.3333333333333333,-0.6562499999999998
4,0.3333333333333333,0.0
5,0.3333333333333333,0.0
6,0.3836477987421384,-0.15094339622641523
7,0.3836477987421384,0.0
8,0.3836477987421384,0.0
9,0.3836477987421384,0.0
10,0.3836477987421384,0.0
11,0.4591194968553459,-0.19672131147540978
12,0.4591194968553459,0.0
13,0.4591194968553459,0.0
14,0.4937106918238994,-0.07534246575342464
15,0.4937106918238994,0.0
16,0.4937106918238994,0.0
17,0.4937106918238994,0.0
18,0.4937106918238994,0.0
19,0.5345911949685535,-0.08280254777070062
20,0.5345911949685535,0.0
21,0.5345911949685535,0.0
22,0.559748427672956,-0.04705882352941176
23,0.559748427672956,0.0
24,0.559748427672956,0.0
25,0.559748427672956,0.0
26,0.559748427672956,0.0
27,0.5911949685534591,-0.05617977528089887
28,0.5911949685534591,0.0
29,0.5911949685534591,0.0
30,0.6194968553459119,-0.04787234042553191
31,0.6194968553459119,0.0
32,0.6194968553459119,0.0
33,0.6194968553459119,0.0
34,0.6194968553459119,0.0
35,0.6446540880503144,-0.04060913705583755
36,0.6446540880503144,0.0
37,0.6446540880503144,0.0
38,0.6635220125786163,-0.029268292682926824
39,0.6635220125786163,0.0
40,0.6635220125786163,0.0
41,0.6635220125786163,0.0
42,0.6635220125786163,0.0
43,0.6855345911949685,-0.03317535545023696
44,0.6855345911949685,0.0
45,0.6855345911949685,0.0
46,0.7012578616352201,-0.02293577981651376
47,0.7012578616352201,0.0
48,0.7012578616352201,0.0
49,0.7012578616352201,0.0
50,0.7012578616352201,0.0
51,0.7169811320754716,-0.022421524663677125
52,0.7169811320754716,0.0
53,0.7169811320754716,0.0
54,0.720125786163522,-0.004385964912280701
55,0.720125786163522,0.0
56,0.720125786163522,0.0
57,0.720125786163522,0.0
58,0.720125786163522,0.0
59,0.7358490566037735,-0.021834061135371174
60,0.7358490566037735,0.0
61,0.7358490566037735,0.0
62,0.7421383647798742,-0.008547008547008546
63,0.7421383647798742,0.0
64,0.7421383647798742,0.0
65,0.7421383647798742,0.0
66,0.7421383647798742,0.0
67,0.7515723270440252,-0.01271186440677981
68,0.7515723270440252,0.0
69,0.7515723270440252,0.0
70,0.7578616352201258,-0.008368200836820081
71,0.7578616352201258,0.0
72,0.7578616352201258,0.0
73,0.7578616352201258,0.0
74,0.7578616352201258,0.0
75,0.7578616352201258,0.0
76,0.7578616352201258,0.0
77,0.7578616352201258,0.0
78,0.7578616352201258,0.0
79,0.7578616352201258,0.0
80,0.7578616352201258,0.0
81,0.7578616352201258,0.0
82,0.7578616352201258,0.0
83,0.7672955974842768,-0.012448132780082983
84,0.7672955974842768,0.0
85,0.7672955974842768,0.0
86,0.7735849056603774,-0.008196721311475407
87,0.7735849056603774,0.0
88,0.7735849056603774,0.0
89,0.7735849056603774,0.0
90,0.7735849056603774,0.0
91,0.779874213836478,-0.008130081300813006
92,0.779874213836478,0.0
93,0.779874213836478,0.0
94,0.7861635220125787,-0.008064516129032256
95,0.7861635220125787,0.0
96,0.7861635220125787,0.0
