checkpoint_h,tercile,n,P_tp_pct
6,1,303,64.0
6,2,302,75.8
6,3,303,97.4
12,1,303,61.1
12,2,302,77.8
12,3,303,98.3
24,1,303,56.8
24,2,302,80.5
24,3,303,100.0
48,1,303,51.8
48,2,302,85.4
48,3,303,100.0
72,1,303,51.8
72,2,302,85.4
72,3,303,100.0
96,1,303,52.5
96,2,302,84.8
96,3,303,100.0
